,year,age_group,sex,region,value
41,2011,5 - 9 years,Male,South-West,23.0
42,2011,5 - 9 years,Male,Dublin,40.0
43,2011,5 - 9 years,Male,Mid-East,27.0
44,2011,5 - 9 years,Male,Midland,11.2
45,2011,5 - 9 years,Female,State,156.2
46,2011,5 - 9 years,Female,Border,13.7
47,2011,5 - 9 years,Female,West,15.1
48,2011,5 - 9 years,Female,Mid-West,16.0
49,2011,5 - 9 years,Female,South-East,14.7
50,2011,5 - 9 years,Female,South-West,21.9
51,2011,5 - 9 years,Female,Dublin,38.6
52,2011,5 - 9 years,Female,Mid-East,25.4
53,2011,5 - 9 years,Female,Midland,10.8
54,2011,10 - 14 years,Both sexes,State,301.0
55,2011,10 - 14 years,Both sexes,Border,28.1
56,2011,10 - 14 years,Both sexes,West,29.0
57,2011,10 - 14 years,Both sexes,Mid-West,32.0
58,2011,10 - 14 years,Both sexes,South-East,28.5
59,2011,10 - 14 years,Both sexes,South-West,43.3
60,2011,10 - 14 years,Both sexes,Dublin,72.8
61,2011,10 - 14 years,Both sexes,Mid-East,46.9
62,2011,10 - 14 years,Both sexes,Midland,20.4
63,2011,10 - 14 years,Male,State,154.5
64,2011,10 - 14 years,Male,Border,14.5
65,2011,10 - 14 years,Male,West,14.8
66,2011,10 - 14 years,Male,Mid-West,16.3
67,2011,10 - 14 years,Male,South-East,14.6
68,2011,10 - 14 years,Male,South-West,22.1
69,2011,10 - 14 years,Male,Dublin,37.5
70,2011,10 - 14 years,Male,Mid-East,24.2
71,2011,10 - 14 years,Male,Midland,10.4
72,2011,10 - 14 years,Female,State,146.6
73,2011,10 - 14 years,Female,Border,13.6
74,2011,10 - 14 years,Female,West,14.2
75,2011,10 - 14 years,Female,Mid-West,15.7
76,2011,10 - 14 years,Female,South-East,13.9
77,2011,10 - 14 years,Female,South-West,21.2
78,2011,10 - 14 years,Female,Dublin,35.2
79,2011,10 - 14 years,Female,Mid-East,22.8
80,2011,10 - 14 years,Female,Midland,10.0
81,2011,15 - 19 years,Both sexes,State,281.0
82,2011,15 - 19 years,Both sexes,Border,25.9
83,2011,15 - 19 years,Both sexes,West,27.9
84,2011,15 - 19 years,Both sexes,Mid-West,29.9
85,2011,15 - 19 years,Both sexes,South-East,25.9
86,2011,15 - 19 years,Both sexes,South-West,40.8
87,2011,15 - 19 years,Both sexes,Dublin,72.0
88,2011,15 - 19 years,Both sexes,Mid-East,40.7
89,2011,15 - 19 years,Both sexes,Midland,18.1
90,2011,15 - 19 years,Male,State,143.7
91,2011,15 - 19 years,Male,Border,13.3
92,2011,15 - 19 years,Male,West,14.2
93,2011,15 - 19 years,Male,Mid-West,15.3
94,2011,15 - 19 years,Male,South-East,13.1
95,2011,15 - 19 years,Male,South-West,20.7
96,2011,15 - 19 years,Male,Dublin,36.9
97,2011,15 - 19 years,Male,Mid-East,20.9
98,2011,15 - 19 years,Male,Midland,9.2
99,2011,15 - 19 years,Female,State,137.4
100,2011,15 - 19 years,Female,Border,12.6
101,2011,15 - 19 years,Female,West,13.6
102,2011,15 - 19 years,Female,Mid-West,14.6
103,2011,15 - 19 years,Female,South-East,12.8
104,2011,15 - 19 years,Female,South-West,20.1
105,2011,15 - 19 years,Female,Dublin,35.1
106,2011,15 - 19 years,Female,Mid-East,19.8
107,2011,15 - 19 years,Female,Midland,8.9
108,2011,20 - 24 years,Both sexes,State,298.6
109,2011,20 - 24 years,Both sexes,Border,23.8
110,2011,20 - 24 years,Both sexes,West,28.1
111,2011,20 - 24 years,Both sexes,Mid-West,29.3
112,2011,20 - 24 years,Both sexes,South-East,24.9
113,2011,20 - 24 years,Both sexes,South-West,42.0
114,2011,20 - 24 years,Both sexes,Dublin,93.6
115,2011,20 - 24 years,Both sexes,Mid-East,39.7
116,2011,20 - 24 years,Both sexes,Midland,17.4
117,2011,20 - 24 years,Male,State,148.6
118,2011,20 - 24 years,Male,Border,12.0
119,2011,20 - 24 years,Male,West,14.1
120,2011,20 - 24 years,Male,Mid-West,14.8
121,2011,20 - 24 years,Male,South-East,12.4
122,2011,20 - 24 years,Male,South-West,21.1
123,2011,20 - 24 years,Male,Dublin,45.7
124,2011,20 - 24 years,Male,Mid-East,19.7
125,2011,20 - 24 years,Male,Midland,8.8
126,2011,20 - 24 years,Female,State,149.9
127,2011,20 - 24 years,Female,Border,11.8
128,2011,20 - 24 years,Female,West,13.9
129,2011,20 - 24 years,Female,Mid-West,14.4
130,2011,20 - 24 years,Female,South-East,12.4
131,2011,20 - 24 years,Female,South-West,21.0
132,2011,20 - 24 years,Female,Dublin,47.9
133,2011,20 - 24 years,Female,Mid-East,20.0
134,2011,20 - 24 years,Female,Midland,8.6
135,2011,25 - 29 years,Both sexes,State,362.9
136,2011,25 - 29 years,Both sexes,Border,26.3
137,2011,25 - 29 years,Both sexes,West,31.7
138,2011,25 - 29 years,Both sexes,Mid-West,32.7
139,2011,25 - 29 years,Both sexes,South-East,28.2
140,2011,25 - 29 years,Both sexes,South-West,49.2
141,2011,25 - 29 years,Both sexes,Dublin,125.9
142,2011,25 - 29 years,Both sexes,Mid-East,47.8
143,2011,25 - 29 years,Both sexes,Midland,21.0
144,2011,25 - 29 years,Male,State,175.1
145,2011,25 - 29 years,Male,Border,12.8
146,2011,25 - 29 years,Male,West,15.6
147,2011,25 - 29 years,Male,Mid-West,16.1
148,2011,25 - 29 years,Male,South-East,13.6
149,2011,25 - 29 years,Male,South-West,23.7
150,2011,25 - 29 years,Male,Dublin,60.4
151,2011,25 - 29 years,Male,Mid-East,22.7
152,2011,25 - 29 years,Male,Midland,10.2
153,2011,25 - 29 years,Female,State,187.8
154,2011,25 - 29 years,Female,Border,13.4
155,2011,25 - 29 years,Female,West,16.2
156,2011,25 - 29 years,Female,Mid-West,16.6
157,2011,25 - 29 years,Female,South-East,14.6
158,2011,25 - 29 years,Female,South-West,25.5
159,2011,25 - 29 years,Female,Dublin,65.5
160,2011,25 - 29 years,Female,Mid-East,25.1
161,2011,25 - 29 years,Female,Midland,10.8
162,2011,30 - 34 years,Both sexes,State,393.4
163,2011,30 - 34 years,Both sexes,Border,29.1
164,2011,30 - 34 years,Both sexes,West,34.6
165,2011,30 - 34 years,Both sexes,Mid-West,36.2
166,2011,30 - 34 years,Both sexes,South-East,32.4
167,2011,30 - 34 years,Both sexes,South-West,54.5
168,2011,30 - 34 years,Both sexes,Dublin,127.2
169,2011,30 - 34 years,Both sexes,Mid-East,56.4
170,2011,30 - 34 years,Both sexes,Midland,23.0
171,2011,30 - 34 years,Male,State,194.9
172,2011,30 - 34 years,Male,Border,14.5
173,2011,30 - 34 years,Male,West,17.3
174,2011,30 - 34 years,Male,Mid-West,18.2
175,2011,30 - 34 years,Male,South-East,16.0
176,2011,30 - 34 years,Male,South-West,27.0
177,2011,30 - 34 years,Male,Dublin,62.9
178,2011,30 - 34 years,Male,Mid-East,27.6
179,2011,30 - 34 years,Male,Midland,11.4
180,2011,30 - 34 years,Female,State,198.5
181,2011,30 - 34 years,Female,Border,14.6
182,2011,30 - 34 years,Female,West,17.4
183,2011,30 - 34 years,Female,Mid-West,18.0
184,2011,30 - 34 years,Female,South-East,16.4
185,2011,30 - 34 years,Female,South-West,27.5
186,2011,30 - 34 years,Female,Dublin,64.3
187,2011,30 - 34 years,Female,Mid-East,28.8
188,2011,30 - 34 years,Female,Midland,11.6
189,2011,35 - 39 years,Both sexes,State,363.1
190,2011,35 - 39 years,Both sexes,Border,28.7
191,2011,35 - 39 years,Both sexes,West,33.3
192,2011,35 - 39 years,Both sexes,Mid-West,35.3
193,2011,35 - 39 years,Both sexes,South-East,31.5
194,2011,35 - 39 years,Both sexes,South-West,51.6
195,2011,35 - 39 years,Both sexes,Dublin,103.7
196,2011,35 - 39 years,Both sexes,Mid-East,56.9
197,2011,35 - 39 years,Both sexes,Midland,22.0
198,2011,35 - 39 years,Male,State,181.9
199,2011,35 - 39 years,Male,Border,14.5
200,2011,35 - 39 years,Male,West,16.6
201,2011,35 - 39 years,Male,Mid-West,17.8
202,2011,35 - 39 years,Male,South-East,15.8
203,2011,35 - 39 years,Male,South-West,26.1
204,2011,35 - 39 years,Male,Dublin,51.9
205,2011,35 - 39 years,Male,Mid-East,28.2
206,2011,35 - 39 years,Male,Midland,11.1
207,2011,35 - 39 years,Female,State,181.2
208,2011,35 - 39 years,Female,Border,14.2
209,2011,35 - 39 years,Female,West,16.7
210,2011,35 - 39 years,Female,Mid-West,17.5
211,2011,35 - 39 years,Female,South-East,15.7
212,2011,35 - 39 years,Female,South-West,25.4
213,2011,35 - 39 years,Female,Dublin,51.9
214,2011,35 - 39 years,Female,Mid-East,28.7
215,2011,35 - 39 years,Female,Midland,10.9
216,2011,40 - 44 years,Both sexes,State,329.3
217,2011,40 - 44 years,Both sexes,Border,27.7
218,2011,40 - 44 years,Both sexes,West,31.2
219,2011,40 - 44 years,Both sexes,Mid-West,33.4
220,2011,40 - 44 years,Both sexes,South-East,29.9
221,2011,40 - 44 years,Both sexes,South-West,47.7
222,2011,40 - 44 years,Both sexes,Dublin,87.4
223,2011,40 - 44 years,Both sexes,Mid-East,51.4
224,2011,40 - 44 years,Both sexes,Midland,20.7
225,2011,40 - 44 years,Male,State,165.9
226,2011,40 - 44 years,Male,Border,14.0
227,2011,40 - 44 years,Male,West,15.8
228,2011,40 - 44 years,Male,Mid-West,16.9
229,2011,40 - 44 years,Male,South-East,15.1
230,2011,40 - 44 years,Male,South-West,24.2
231,2011,40 - 44 years,Male,Dublin,43.5
232,2011,40 - 44 years,Male,Mid-East,25.9
233,2011,40 - 44 years,Male,Midland,10.5
234,2011,40 - 44 years,Female,State,163.4
235,2011,40 - 44 years,Female,Border,13.6
236,2011,40 - 44 years,Female,West,15.4
237,2011,40 - 44 years,Female,Mid-West,16.5
238,2011,40 - 44 years,Female,South-East,14.8
239,2011,40 - 44 years,Female,South-West,23.5
240,2011,40 - 44 years,Female,Dublin,43.9
241,2011,40 - 44 years,Female,Mid-East,25.5
242,2011,40 - 44 years,Female,Midland,10.2
243,2011,45 - 49 years,Both sexes,State,304.1
244,2011,45 - 49 years,Both sexes,Border,26.1
245,2011,45 - 49 years,Both sexes,West,29.2
246,2011,45 - 49 years,Both sexes,Mid-West,31.5
247,2011,45 - 49 years,Both sexes,South-East,28.3
248,2011,45 - 49 years,Both sexes,South-West,45.5
249,2011,45 - 49 years,Both sexes,Dublin,79.4
250,2011,45 - 49 years,Both sexes,Mid-East,45.4
251,2011,45 - 49 years,Both sexes,Midland,18.8
252,2011,45 - 49 years,Male,State,151.3
253,2011,45 - 49 years,Male,Border,13.1
254,2011,45 - 49 years,Male,West,14.7
255,2011,45 - 49 years,Male,Mid-West,15.8
256,2011,45 - 49 years,Male,South-East,14.1
257,2011,45 - 49 years,Male,South-West,22.9
258,2011,45 - 49 years,Male,Dublin,38.3
259,2011,45 - 49 years,Male,Mid-East,22.8
260,2011,45 - 49 years,Male,Midland,9.5
261,2011,45 - 49 years,Female,State,152.9
262,2011,45 - 49 years,Female,Border,13.0
263,2011,45 - 49 years,Female,West,14.6
264,2011,45 - 49 years,Female,Mid-West,15.7
265,2011,45 - 49 years,Female,South-East,14.1
266,2011,45 - 49 years,Female,South-West,22.6
267,2011,45 - 49 years,Female,Dublin,41.1
268,2011,45 - 49 years,Female,Mid-East,22.5
269,2011,45 - 49 years,Female,Midland,9.3
270,2011,50 - 54 years,Both sexes,State,273.7
271,2011,50 - 54 years,Both sexes,Border,24.0
272,2011,50 - 54 years,Both sexes,West,27.7
273,2011,50 - 54 years,Both sexes,Mid-West,29.2
274,2011,50 - 54 years,Both sexes,South-East,25.3
275,2011,50 - 54 years,Both sexes,South-West,40.9
276,2011,50 - 54 years,Both sexes,Dublin,71.4
277,2011,50 - 54 years,Both sexes,Mid-East,38.2
278,2011,50 - 54 years,Both sexes,Midland,17.0
279,2011,50 - 54 years,Male,State,136.7
280,2011,50 - 54 years,Male,Border,12.1
281,2011,50 - 54 years,Male,West,13.9
282,2011,50 - 54 years,Male,Mid-West,14.9
283,2011,50 - 54 years,Male,South-East,12.7
284,2011,50 - 54 years,Male,South-West,20.6
285,2011,50 - 54 years,Male,Dublin,34.6
286,2011,50 - 54 years,Male,Mid-East,19.2
287,2011,50 - 54 years,Male,Midland,8.7
288,2011,50 - 54 years,Female,State,137.1
289,2011,50 - 54 years,Female,Border,12.0
290,2011,50 - 54 years,Female,West,13.8
291,2011,50 - 54 years,Female,Mid-West,14.3
292,2011,50 - 54 years,Female,South-East,12.6
293,2011,50 - 54 years,Female,South-West,20.3
294,2011,50 - 54 years,Female,Dublin,36.9
295,2011,50 - 54 years,Female,Mid-East,19.0
296,2011,50 - 54 years,Female,Midland,8.2
297,2011,55 - 59 years,Both sexes,State,243.4
298,2011,55 - 59 years,Both sexes,Border,22.0
299,2011,55 - 59 years,Both sexes,West,25.3
300,2011,55 - 59 years,Both sexes,Mid-West,26.6
301,2011,55 - 59 years,Both sexes,South-East,22.5
302,2011,55 - 59 years,Both sexes,South-West,36.7
303,2011,55 - 59 years,Both sexes,Dublin,62.4
304,2011,55 - 59 years,Both sexes,Mid-East,33.0
305,2011,55 - 59 years,Both sexes,Midland,14.9
306,2011,55 - 59 years,Male,State,121.8
307,2011,55 - 59 years,Male,Border,11.3
308,2011,55 - 59 years,Male,West,12.8
309,2011,55 - 59 years,Male,Mid-West,13.6
310,2011,55 - 59 years,Male,South-East,11.4
311,2011,55 - 59 years,Male,South-West,18.6
312,2011,55 - 59 years,Male,Dublin,30.0
313,2011,55 - 59 years,Male,Mid-East,16.5
314,2011,55 - 59 years,Male,Midland,7.7
315,2011,55 - 59 years,Female,State,121.6
316,2011,55 - 59 years,Female,Border,10.7
317,2011,55 - 59 years,Female,West,12.4
318,2011,55 - 59 years,Female,Mid-West,13.1
319,2011,55 - 59 years,Female,South-East,11.1
320,2011,55 - 59 years,Female,South-West,18.2
321,2011,55 - 59 years,Female,Dublin,32.5
322,2011,55 - 59 years,Female,Mid-East,16.4
323,2011,55 - 59 years,Female,Midland,7.2
324,2011,60 - 64 years,Both sexes,State,217.1
325,2011,60 - 64 years,Both sexes,Border,20.2
326,2011,60 - 64 years,Both sexes,West,22.5
327,2011,60 - 64 years,Both sexes,Mid-West,24.4
328,2011,60 - 64 years,Both sexes,South-East,20.2
329,2011,60 - 64 years,Both sexes,South-West,33.0
330,2011,60 - 64 years,Both sexes,Dublin,55.2
331,2011,60 - 64 years,Both sexes,Mid-East,28.7
332,2011,60 - 64 years,Both sexes,Midland,13.0
333,2011,60 - 64 years,Male,State,109.2
334,2011,60 - 64 years,Male,Border,10.4
335,2011,60 - 64 years,Male,West,11.6
336,2011,60 - 64 years,Male,Mid-West,12.3
337,2011,60 - 64 years,Male,South-East,10.3
338,2011,60 - 64 years,Male,South-West,16.8
339,2011,60 - 64 years,Male,Dublin,26.7
340,2011,60 - 64 years,Male,Mid-East,14.5
341,2011,60 - 64 years,Male,Midland,6.6
342,2011,60 - 64 years,Female,State,107.9
343,2011,60 - 64 years,Female,Border,9.8
344,2011,60 - 64 years,Female,West,10.9
345,2011,60 - 64 years,Female,Mid-West,12.0
346,2011,60 - 64 years,Female,South-East,9.9
347,2011,60 - 64 years,Female,South-West,16.2
348,2011,60 - 64 years,Female,Dublin,28.5
349,2011,60 - 64 years,Female,Mid-East,14.2
350,2011,60 - 64 years,Female,Midland,6.4
351,2011,65 - 69 years,Both sexes,State,172.1
352,2011,65 - 69 years,Both sexes,Border,16.1
353,2011,65 - 69 years,Both sexes,West,17.9
354,2011,65 - 69 years,Both sexes,Mid-West,19.2
355,2011,65 - 69 years,Both sexes,South-East,16.7
356,2011,65 - 69 years,Both sexes,South-West,26.4
357,2011,65 - 69 years,Both sexes,Dublin,43.3
358,2011,65 - 69 years,Both sexes,Mid-East,22.2
359,2011,65 - 69 years,Both sexes,Midland,10.3
360,2011,65 - 69 years,Male,State,85.6
361,2011,65 - 69 years,Male,Border,8.4
362,2011,65 - 69 years,Male,West,9.2
363,2011,65 - 69 years,Male,Mid-West,9.6
364,2011,65 - 69 years,Male,South-East,8.3
365,2011,65 - 69 years,Male,South-West,13.2
366,2011,65 - 69 years,Male,Dublin,20.5
367,2011,65 - 69 years,Male,Mid-East,11.2
368,2011,65 - 69 years,Male,Midland,5.2
369,2011,65 - 69 years,Female,State,86.5
370,2011,65 - 69 years,Female,Border,7.7
371,2011,65 - 69 years,Female,West,8.7
372,2011,65 - 69 years,Female,Mid-West,9.6
373,2011,65 - 69 years,Female,South-East,8.3
374,2011,65 - 69 years,Female,South-West,13.3
375,2011,65 - 69 years,Female,Dublin,22.8
376,2011,65 - 69 years,Female,Mid-East,11.0
377,2011,65 - 69 years,Female,Midland,5.1
378,2011,70 - 74 years,Both sexes,State,130.1
379,2011,70 - 74 years,Both sexes,Border,12.1
380,2011,70 - 74 years,Both sexes,West,13.4
381,2011,70 - 74 years,Both sexes,Mid-West,14.4
382,2011,70 - 74 years,Both sexes,South-East,12.6
383,2011,70 - 74 years,Both sexes,South-West,20.1
384,2011,70 - 74 years,Both sexes,Dublin,34.8
385,2011,70 - 74 years,Both sexes,Mid-East,15.0
386,2011,70 - 74 years,Both sexes,Midland,7.6
387,2011,70 - 74 years,Male,State,62.9
388,2011,70 - 74 years,Male,Border,6.0
389,2011,70 - 74 years,Male,West,6.8
390,2011,70 - 74 years,Male,Mid-West,7.1
391,2011,70 - 74 years,Male,South-East,6.3
392,2011,70 - 74 years,Male,South-West,9.7
393,2011,70 - 74 years,Male,Dublin,15.9
394,2011,70 - 74 years,Male,Mid-East,7.4
395,2011,70 - 74 years,Male,Midland,3.8
396,2011,70 - 74 years,Female,State,67.2
397,2011,70 - 74 years,Female,Border,6.1
398,2011,70 - 74 years,Female,West,6.6
399,2011,70 - 74 years,Female,Mid-West,7.3
400,2011,70 - 74 years,Female,South-East,6.3
401,2011,70 - 74 years,Female,South-West,10.4
402,2011,70 - 74 years,Female,Dublin,18.9
403,2011,70 - 74 years,Female,Mid-East,7.7
404,2011,70 - 74 years,Female,Midland,3.9
405,2011,75 - 79 years,Both sexes,State,101.4
406,2011,75 - 79 years,Both sexes,Border,9.7
407,2011,75 - 79 years,Both sexes,West,10.8
408,2011,75 - 79 years,Both sexes,Mid-West,11.2
409,2011,75 - 79 years,Both sexes,South-East,9.7
410,2011,75 - 79 years,Both sexes,South-West,15.8
411,2011,75 - 79 years,Both sexes,Dublin,27.2
412,2011,75 - 79 years,Both sexes,Mid-East,10.8
413,2011,75 - 79 years,Both sexes,Midland,6.1
414,2011,75 - 79 years,Male,State,46.3
415,2011,75 - 79 years,Male,Border,4.7
416,2011,75 - 79 years,Male,West,5.2
417,2011,75 - 79 years,Male,Mid-West,5.2
418,2011,75 - 79 years,Male,South-East,4.5
419,2011,75 - 79 years,Male,South-West,7.2
420,2011,75 - 79 years,Male,Dublin,11.7
421,2011,75 - 79 years,Male,Mid-East,5.0
422,2011,75 - 79 years,Male,Midland,2.9
423,2011,75 - 79 years,Female,State,55.0
424,2011,75 - 79 years,Female,Border,5.1
425,2011,75 - 79 years,Female,West,5.6
426,2011,75 - 79 years,Female,Mid-West,5.9
427,2011,75 - 79 years,Female,South-East,5.1
428,2011,75 - 79 years,Female,South-West,8.6
429,2011,75 - 79 years,Female,Dublin,15.6
430,2011,75 - 79 years,Female,Mid-East,5.8
431,2011,75 - 79 years,Female,Midland,3.2
432,2011,80 - 84 years,Both sexes,State,69.8
433,2011,80 - 84 years,Both sexes,Border,6.9
434,2011,80 - 84 years,Both sexes,West,7.8
435,2011,80 - 84 years,Both sexes,Mid-West,7.8
436,2011,80 - 84 years,Both sexes,South-East,6.3
437,2011,80 - 84 years,Both sexes,South-West,10.9
438,2011,80 - 84 years,Both sexes,Dublin,18.7
439,2011,80 - 84 years,Both sexes,Mid-East,7.2
440,2011,80 - 84 years,Both sexes,Midland,4.2
441,2011,80 - 84 years,Male,State,28.3
442,2011,80 - 84 years,Male,Border,2.9
443,2011,80 - 84 years,Male,West,3.3
444,2011,80 - 84 years,Male,Mid-West,3.2
445,2011,80 - 84 years,Male,South-East,2.7
446,2011,80 - 84 years,Male,South-West,4.4
447,2011,80 - 84 years,Male,Dublin,7.0
448,2011,80 - 84 years,Male,Mid-East,2.9
449,2011,80 - 84 years,Male,Midland,1.8
450,2011,80 - 84 years,Female,State,41.5
451,2011,80 - 84 years,Female,Border,3.9
452,2011,80 - 84 years,Female,West,4.5
453,2011,80 - 84 years,Female,Mid-West,4.5
454,2011,80 - 84 years,Female,South-East,3.6
455,2011,80 - 84 years,Female,South-West,6.4
456,2011,80 - 84 years,Female,Dublin,11.7
457,2011,80 - 84 years,Female,Mid-East,4.3
458,2011,80 - 84 years,Female,Midland,2.5
459,2011,85 years and over,Both sexes,State,58.2
460,2011,85 years and over,Both sexes,Border,6.3
461,2011,85 years and over,Both sexes,West,7.0
462,2011,85 years and over,Both sexes,Mid-West,6.3
463,2011,85 years and over,Both sexes,South-East,5.3
464,2011,85 years and over,Both sexes,South-West,8.9
465,2011,85 years and over,Both sexes,Dublin,14.6
466,2011,85 years and over,Both sexes,Mid-East,6.3
467,2011,85 years and over,Both sexes,Midland,3.5
468,2011,85 years and over,Male,State,18.4
469,2011,85 years and over,Male,Border,2.1
470,2011,85 years and over,Male,West,2.3
471,2011,85 years and over,Male,Mid-West,2.0
472,2011,85 years and over,Male,South-East,1.7
473,2011,85 years and over,Male,South-West,2.8
474,2011,85 years and over,Male,Dublin,4.4
475,2011,85 years and over,Male,Mid-East,1.9
476,2011,85 years and over,Male,Midland,1.2
477,2011,85 years and over,Female,State,39.8
478,2011,85 years and over,Female,Border,4.2
479,2011,85 years and over,Female,West,4.7
480,2011,85 years and over,Female,Mid-West,4.3
481,2011,85 years and over,Female,South-East,3.5
482,2011,85 years and over,Female,South-West,6.1
483,2011,85 years and over,Female,Dublin,10.3
484,2011,85 years and over,Female,Mid-East,4.4
485,2011,85 years and over,Female,Midland,2.3
486,2011,All ages,Both sexes,State,4574.9
487,2011,All ages,Both sexes,Border,391.9
488,2011,All ages,Both sexes,West,440.8
489,2011,All ages,Both sexes,Mid-West,466.8
490,2011,All ages,Both sexes,South-East,410.3
491,2011,All ages,Both sexes,South-West,662.3
492,2011,All ages,Both sexes,Dublin,1261.5
493,2011,All ages,Both sexes,Mid-East,657.4
494,2011,All ages,Both sexes,Midland,283.8
495,2011,All ages,Male,State,2270.5
496,2011,All ages,Male,Border,197.0
497,2011,All ages,Male,West,220.5
498,2011,All ages,Male,Mid-West,233.7
499,2011,All ages,Male,South-East,204.7
500,2011,All ages,Male,South-West,329.6
501,2011,All ages,Male,Dublin,615.4
502,2011,All ages,Male,Mid-East,327.3
503,2011,All ages,Male,Midland,142.4
504,2011,All ages,Female,State,2304.4
505,2011,All ages,Female,Border,194.9
506,2011,All ages,Female,West,220.3
507,2011,All ages,Female,Mid-West,233.2
508,2011,All ages,Female,South-East,205.6
509,2011,All ages,Female,South-West,332.7
510,2011,All ages,Female,Dublin,646.2
511,2011,All ages,Female,Mid-East,330.1
512,2011,All ages,Female,Midland,141.4
513,2012,0 - 4 years,Both sexes,State,358.2
514,2012,0 - 4 years,Both sexes,Border,30.7
515,2012,0 - 4 years,Both sexes,West,32.8
516,2012,0 - 4 years,Both sexes,Mid-West,35.1
517,2012,0 - 4 years,Both sexes,South-East,32.0
518,2012,0 - 4 years,Both sexes,South-West,50.5
519,2012,0 - 4 years,Both sexes,Dublin,94.0
520,2012,0 - 4 years,Both sexes,Mid-East,58.6
521,2012,0 - 4 years,Both sexes,Midland,24.4
522,2012,0 - 4 years,Male,State,182.7
523,2012,0 - 4 years,Male,Border,15.8
524,2012,0 - 4 years,Male,West,16.8
525,2012,0 - 4 years,Male,Mid-West,18.0
526,2012,0 - 4 years,Male,South-East,16.5
527,2012,0 - 4 years,Male,South-West,25.6
528,2012,0 - 4 years,Male,Dublin,47.8
529,2012,0 - 4 years,Male,Mid-East,29.7
530,2012,0 - 4 years,Male,Midland,12.5
531,2012,0 - 4 years,Female,State,175.4
532,2012,0 - 4 years,Female,Border,14.9
533,2012,0 - 4 years,Female,West,16.0
534,2012,0 - 4 years,Female,Mid-West,17.1
535,2012,0 - 4 years,Female,South-East,15.5
536,2012,0 - 4 years,Female,South-West,24.9
537,2012,0 - 4 years,Female,Dublin,46.2
538,2012,0 - 4 years,Female,Mid-East,28.9
539,2012,0 - 4 years,Female,Midland,11.9
540,2012,5 - 9 years,Both sexes,State,325.3
541,2012,5 - 9 years,Both sexes,Border,28.7
542,2012,5 - 9 years,Both sexes,West,30.9
543,2012,5 - 9 years,Both sexes,Mid-West,33.0
544,2012,5 - 9 years,Both sexes,South-East,30.4
545,2012,5 - 9 years,Both sexes,South-West,45.9
546,2012,5 - 9 years,Both sexes,Dublin,80.6
547,2012,5 - 9 years,Both sexes,Mid-East,53.3
548,2012,5 - 9 years,Both sexes,Midland,22.5
549,2012,5 - 9 years,Male,State,166.4
550,2012,5 - 9 years,Male,Border,14.9
551,2012,5 - 9 years,Male,West,15.8
552,2012,5 - 9 years,Male,Mid-West,16.7
553,2012,5 - 9 years,Male,South-East,15.5
554,2012,5 - 9 years,Male,South-West,23.6
555,2012,5 - 9 years,Male,Dublin,40.9
556,2012,5 - 9 years,Male,Mid-East,27.4
557,2012,5 - 9 years,Male,Midland,11.5
558,2012,5 - 9 years,Female,State,159.0
559,2012,5 - 9 years,Female,Border,13.9
560,2012,5 - 9 years,Female,West,15.1
561,2012,5 - 9 years,Female,Mid-West,16.3
562,2012,5 - 9 years,Female,South-East,14.8
563,2012,5 - 9 years,Female,South-West,22.3
564,2012,5 - 9 years,Female,Dublin,39.7
