,year,sex,citizenship,value
162,2015,Both sexes,All Countries,70.0
163,2015,Both sexes,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),6.0
164,2015,Both sexes,EU15 to EU27 (accession countries joined post 2004),7.1
165,2015,Both sexes,United Kingdom,5.6
166,2015,Both sexes,Ireland,42.5
167,2015,Both sexes,"All countries excluding Ireland,United Kingdom and EU272020",8.8
168,2015,Male,All Countries,35.8
169,2015,Male,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),2.8
170,2015,Male,EU15 to EU27 (accession countries joined post 2004),3.5
171,2015,Male,United Kingdom,2.6
172,2015,Male,Ireland,21.8
173,2015,Male,"All countries excluding Ireland,United Kingdom and EU272020",5.2
174,2015,Female,All Countries,34.1
175,2015,Female,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),3.2
176,2015,Female,EU15 to EU27 (accession countries joined post 2004),3.6
177,2015,Female,United Kingdom,2.9
178,2015,Female,Ireland,20.7
179,2015,Female,"All countries excluding Ireland,United Kingdom and EU272020",3.6
180,2016,Both sexes,All Countries,66.2
181,2016,Both sexes,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),5.7
182,2016,Both sexes,EU15 to EU27 (accession countries joined post 2004),6.8
183,2016,Both sexes,United Kingdom,5.2
184,2016,Both sexes,Ireland,37.1
185,2016,Both sexes,"All countries excluding Ireland,United Kingdom and EU272020",11.4
186,2016,Male,All Countries,31.0
187,2016,Male,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),2.4
188,2016,Male,EU15 to EU27 (accession countries joined post 2004),3.0
189,2016,Male,United Kingdom,2.2
190,2016,Male,Ireland,17.4
191,2016,Male,"All countries excluding Ireland,United Kingdom and EU272020",6.0
192,2016,Female,All Countries,35.1
193,2016,Female,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),3.3
194,2016,Female,EU15 to EU27 (accession countries joined post 2004),3.8
195,2016,Female,United Kingdom,3.0
196,2016,Female,Ireland,19.7
197,2016,Female,"All countries excluding Ireland,United Kingdom and EU272020",5.4
198,2017,Both sexes,All Countries,56.1
199,2017,Both sexes,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),6.7
200,2017,Both sexes,EU15 to EU27 (accession countries joined post 2004),9.1
201,2017,Both sexes,United Kingdom,4.0
202,2017,Both sexes,Ireland,24.7
203,2017,Both sexes,"All countries excluding Ireland,United Kingdom and EU272020",11.7
204,2017,Male,All Countries,29.5
205,2017,Male,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),3.5
206,2017,Male,EU15 to EU27 (accession countries joined post 2004),4.8
207,2017,Male,United Kingdom,2.1
208,2017,Male,Ireland,12.9
209,2017,Male,"All countries excluding Ireland,United Kingdom and EU272020",6.2
210,2017,Female,All Countries,26.6
211,2017,Female,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),3.1
212,2017,Female,EU15 to EU27 (accession countries joined post 2004),4.3
213,2017,Female,United Kingdom,1.9
214,2017,Female,Ireland,11.7
215,2017,Female,"All countries excluding Ireland,United Kingdom and EU272020",5.5
216,2018,Both sexes,All Countries,51.6
217,2018,Both sexes,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),6.1
218,2018,Both sexes,EU15 to EU27 (accession countries joined post 2004),6.4
219,2018,Both sexes,United Kingdom,3.6
220,2018,Both sexes,Ireland,25.0
221,2018,Both sexes,"All countries excluding Ireland,United Kingdom and EU272020",10.4
222,2018,Male,All Countries,24.0
223,2018,Male,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),2.8
224,2018,Male,EU15 to EU27 (accession countries joined post 2004),3.2
225,2018,Male,United Kingdom,1.6
226,2018,Male,Ireland,11.8
227,2018,Male,"All countries excluding Ireland,United Kingdom and EU272020",4.7
228,2018,Female,All Countries,27.6
229,2018,Female,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),3.3
230,2018,Female,EU15 to EU27 (accession countries joined post 2004),3.3
231,2018,Female,United Kingdom,2.0
232,2018,Female,Ireland,13.2
233,2018,Female,"All countries excluding Ireland,United Kingdom and EU272020",5.7
234,2019,Both sexes,All Countries,53.1
235,2019,Both sexes,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),4.5
236,2019,Both sexes,EU15 to EU27 (accession countries joined post 2004),7.0
237,2019,Both sexes,United Kingdom,3.0
238,2019,Both sexes,Ireland,27.2
239,2019,Both sexes,"All countries excluding Ireland,United Kingdom and EU272020",11.4
240,2019,Male,All Countries,26.9
241,2019,Male,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),2.1
242,2019,Male,EU15 to EU27 (accession countries joined post 2004),3.6
243,2019,Male,United Kingdom,1.2
244,2019,Male,Ireland,14.0
245,2019,Male,"All countries excluding Ireland,United Kingdom and EU272020",6.0
246,2019,Female,All Countries,26.2
247,2019,Female,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),2.4
248,2019,Female,EU15 to EU27 (accession countries joined post 2004),3.4
249,2019,Female,United Kingdom,1.9
250,2019,Female,Ireland,13.2
251,2019,Female,"All countries excluding Ireland,United Kingdom and EU272020",5.4
252,2020,Both sexes,All Countries,50.9
253,2020,Both sexes,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),5.0
254,2020,Both sexes,EU15 to EU27 (accession countries joined post 2004),8.1
255,2020,Both sexes,United Kingdom,2.5
256,2020,Both sexes,Ireland,25.0
257,2020,Both sexes,"All countries excluding Ireland,United Kingdom and EU272020",10.2
258,2020,Male,All Countries,25.4
259,2020,Male,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),2.0
260,2020,Male,EU15 to EU27 (accession countries joined post 2004),4.0
261,2020,Male,United Kingdom,1.9
262,2020,Male,Ireland,12.9
263,2020,Male,"All countries excluding Ireland,United Kingdom and EU272020",4.7
264,2020,Female,All Countries,25.5
265,2020,Female,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),3.0
266,2020,Female,EU15 to EU27 (accession countries joined post 2004),4.2
267,2020,Female,United Kingdom,0.6
268,2020,Female,Ireland,12.2
269,2020,Female,"All countries excluding Ireland,United Kingdom and EU272020",5.5
270,2021,Both sexes,All Countries,52.3
271,2021,Both sexes,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),7.5
272,2021,Both sexes,EU15 to EU27 (accession countries joined post 2004),5.1
273,2021,Both sexes,United Kingdom,3.0
274,2021,Both sexes,Ireland,21.4
275,2021,Both sexes,"All countries excluding Ireland,United Kingdom and EU272020",15.4
276,2021,Male,All Countries,25.4
277,2021,Male,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),2.9
278,2021,Male,EU15 to EU27 (accession countries joined post 2004),2.9
279,2021,Male,United Kingdom,1.8
280,2021,Male,Ireland,9.3
281,2021,Male,"All countries excluding Ireland,United Kingdom and EU272020",8.4
282,2021,Female,All Countries,26.9
283,2021,Female,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),4.6
284,2021,Female,EU15 to EU27 (accession countries joined post 2004),2.2
285,2021,Female,United Kingdom,1.1
286,2021,Female,Ireland,12.0
287,2021,Female,"All countries excluding Ireland,United Kingdom and EU272020",7.0
288,2022,Both sexes,All Countries,56.1
289,2022,Both sexes,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),4.7
290,2022,Both sexes,EU15 to EU27 (accession countries joined post 2004),4.6
291,2022,Both sexes,United Kingdom,4.1
292,2022,Both sexes,Ireland,25.6
293,2022,Both sexes,"All countries excluding Ireland,United Kingdom and EU272020",17.1
294,2022,Male,All Countries,29.6
295,2022,Male,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),3.1
296,2022,Male,EU15 to EU27 (accession countries joined post 2004),2.8
297,2022,Male,United Kingdom,3.3
298,2022,Male,Ireland,12.2
299,2022,Male,"All countries excluding Ireland,United Kingdom and EU272020",8.2
300,2022,Female,All Countries,26.5
301,2022,Female,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),1.6
302,2022,Female,EU15 to EU27 (accession countries joined post 2004),1.8
303,2022,Female,United Kingdom,0.8
304,2022,Female,Ireland,13.4
305,2022,Female,"All countries excluding Ireland,United Kingdom and EU272020",8.9
306,2023,Both sexes,All Countries,64.0
307,2023,Both sexes,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),6.9
308,2023,Both sexes,EU15 to EU27 (accession countries joined post 2004),7.3
309,2023,Both sexes,United Kingdom,5.0
310,2023,Both sexes,Ireland,30.5
311,2023,Both sexes,"All countries excluding Ireland,United Kingdom and EU272020",14.4
312,2023,Male,All Countries,31.0
313,2023,Male,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),2.6
314,2023,Male,EU15 to EU27 (accession countries joined post 2004),4.2
315,2023,Male,United Kingdom,2.3
316,2023,Male,Ireland,14.4
317,2023,Male,"All countries excluding Ireland,United Kingdom and EU272020",7.5
318,2023,Female,All Countries,32.9
319,2023,Female,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),4.3
320,2023,Female,EU15 to EU27 (accession countries joined post 2004),3.1
321,2023,Female,United Kingdom,2.7
322,2023,Female,Ireland,16.0
323,2023,Female,"All countries excluding Ireland,United Kingdom and EU272020",6.8
