,index,year,sex,All Countries,Non-EU/Ireland/UK 2020,EU14 excl Irl,EU15 to EU27,Ireland,United Kingdom
71,71,2019,Male,49.0,19.5,5.6,5.4,15.4,3.1
72,72,2020,Both sexes,95.6,37.4,9.2,9.9,33.6,5.5
73,73,2020,Female,48.7,18.8,5.1,5.4,17.0,2.4
74,74,2020,Male,46.9,18.6,4.1,4.5,16.6,3.1
75,75,2021,Both sexes,74.1,16.1,7.5,9.0,36.4,5.0
76,76,2021,Female,37.9,8.8,4.2,5.1,17.3,2.5
77,77,2021,Male,36.2,7.4,3.4,3.9,19.1,2.5
78,78,2022,Both sexes,107.8,58.8,13.2,8.6,23.5,3.8
79,79,2022,Female,58.6,34.4,6.9,3.9,11.7,1.7
80,80,2022,Male,49.2,24.4,6.3,4.7,11.8,2.1
81,81,2023,Both sexes,141.6,81.1,15.0,11.1,29.6,4.8
82,82,2023,Female,75.5,45.3,7.7,5.8,14.3,2.5
83,83,2023,Male,66.1,35.7,7.4,5.4,15.3,2.3
