year,age_group,gender,kvalue
1951,60 - 64 years,Female,60.7
1951,65 - 69 years,Both sexes,107.5
1951,65 - 69 years,Male,54.1
1951,65 - 69 years,Female,53.4
1951,65 years and over,Both sexes,316.4
1951,65 years and over,Male,155.0
1951,65 years and over,Female,161.4
1951,70 - 74 years,Both sexes,100.1
1951,70 - 74 years,Male,49.1
1951,70 - 74 years,Female,51.0
1951,75 - 79 years,Both sexes,64.6
1951,75 - 79 years,Male,31.6
1951,75 - 79 years,Female,32.9
1951,80 - 84 years,Both sexes,30.9
1951,80 - 84 years,Male,14.6
1951,80 - 84 years,Female,16.2
1951,85 years and over,Both sexes,13.3
1951,85 years and over,Male,5.5
1951,85 years and over,Female,7.8
1951,All ages,Both sexes,2960.6
1951,All ages,Male,1506.6
1951,All ages,Female,1454.0
1952,0 - 4 years,Both sexes,310.3
1952,0 - 4 years,Male,158.7
1952,0 - 4 years,Female,151.6
1952,0 - 14 years,Both sexes,859.6
1952,0 - 14 years,Male,438.8
1952,0 - 14 years,Female,420.8
1952,5 - 9 years,Both sexes,284.7
1952,5 - 9 years,Male,145.5
1952,5 - 9 years,Female,139.2
1952,10 - 14 years,Both sexes,264.6
1952,10 - 14 years,Male,134.6
1952,10 - 14 years,Female,130.0
1952,15 - 19 years,Both sexes,239.7
1952,15 - 19 years,Male,125.0
1952,15 - 19 years,Female,114.7
1952,15 - 24 years,Both sexes,437.5
1952,15 - 24 years,Male,227.8
1952,15 - 24 years,Female,209.7
1952,15 years and over,Both sexes,2093.3
1952,15 years and over,Male,1062.1
1952,15 years and over,Female,1031.2
1952,20 - 24 years,Both sexes,197.8
1952,20 - 24 years,Male,102.8
1952,20 - 24 years,Female,95.0
1952,25 - 29 years,Both sexes,192.9
1952,25 - 29 years,Male,96.6
1952,25 - 29 years,Female,96.3
1952,25 - 44 years,Both sexes,760.3
1952,25 - 44 years,Male,385.2
1952,25 - 44 years,Female,375.1
1952,30 - 34 years,Both sexes,188.6
1952,30 - 34 years,Male,94.6
1952,30 - 34 years,Female,94.0
1952,35 - 39 years,Both sexes,197.3
1952,35 - 39 years,Male,99.8
1952,35 - 39 years,Female,97.5
1952,40 - 44 years,Both sexes,181.5
1952,40 - 44 years,Male,94.2
1952,40 - 44 years,Female,87.3
1952,45 - 49 years,Both sexes,163.6
1952,45 - 49 years,Male,83.9
1952,45 - 49 years,Female,79.7
1952,45 - 64 years,Both sexes,578.6
1952,45 - 64 years,Male,293.8
1952,45 - 64 years,Female,284.8
1952,50 - 54 years,Both sexes,160.0
1952,50 - 54 years,Male,81.6
1952,50 - 54 years,Female,78.4
1952,55 - 59 years,Both sexes,133.8
1952,55 - 59 years,Male,67.6
1952,55 - 59 years,Female,66.2
1952,60 - 64 years,Both sexes,121.2
1952,60 - 64 years,Male,60.7
1952,60 - 64 years,Female,60.5
1952,65 - 69 years,Both sexes,107.9
1952,65 - 69 years,Male,54.4
1952,65 - 69 years,Female,53.5
1952,65 years and over,Both sexes,316.9
1952,65 years and over,Male,155.3
1952,65 years and over,Female,161.6
1952,70 - 74 years,Both sexes,98.8
1952,70 - 74 years,Male,48.4
1952,70 - 74 years,Female,50.4
1952,75 - 79 years,Both sexes,64.9
1952,75 - 79 years,Male,31.8
1952,75 - 79 years,Female,33.1
1952,80 - 84 years,Both sexes,31.3
1952,80 - 84 years,Male,14.8
1952,80 - 84 years,Female,16.5
1952,85 years and over,Both sexes,14.0
1952,85 years and over,Male,5.9
1952,85 years and over,Female,8.1
1952,All ages,Both sexes,2952.9
1952,All ages,Male,1500.9
1952,All ages,Female,1452.0
1953,0 - 4 years,Both sexes,308.2
1953,0 - 4 years,Male,157.5
1953,0 - 4 years,Female,150.7
1953,0 - 14 years,Both sexes,865.3
1953,0 - 14 years,Male,441.9
1953,0 - 14 years,Female,423.4
1953,5 - 9 years,Both sexes,288.5
1953,5 - 9 years,Male,147.7
1953,5 - 9 years,Female,140.8
1953,10 - 14 years,Both sexes,268.6
1953,10 - 14 years,Male,136.7
1953,10 - 14 years,Female,131.9
1953,15 - 19 years,Both sexes,238.6
1953,15 - 19 years,Male,124.5
1953,15 - 19 years,Female,114.1
1953,15 - 24 years,Both sexes,432.3
1953,15 - 24 years,Male,224.9
1953,15 - 24 years,Female,207.4
1953,15 years and over,Both sexes,2083.7
1953,15 years and over,Male,1056.0
1953,15 years and over,Female,1027.7
1953,20 - 24 years,Both sexes,193.7
1953,20 - 24 years,Male,100.4
1953,20 - 24 years,Female,93.3
1953,25 - 29 years,Both sexes,187.7
1953,25 - 29 years,Male,93.8
1953,25 - 29 years,Female,93.9
1953,25 - 44 years,Both sexes,750.6
1953,25 - 44 years,Male,378.8
1953,25 - 44 years,Female,371.8
1953,30 - 34 years,Both sexes,185.8
1953,30 - 34 years,Male,92.9
1953,30 - 34 years,Female,92.9
1953,35 - 39 years,Both sexes,194.1
1953,35 - 39 years,Male,97.5
1953,35 - 39 years,Female,96.6
1953,40 - 44 years,Both sexes,183.0
1953,40 - 44 years,Male,94.6
1953,40 - 44 years,Female,88.4
1953,45 - 49 years,Both sexes,166.4
1953,45 - 49 years,Male,85.5
1953,45 - 49 years,Female,80.9
1953,45 - 64 years,Both sexes,583.0
1953,45 - 64 years,Male,296.4
1953,45 - 64 years,Female,286.6
1953,50 - 54 years,Both sexes,157.3
1953,50 - 54 years,Male,80.5
1953,50 - 54 years,Female,76.8
1953,55 - 59 years,Both sexes,138.8
1953,55 - 59 years,Male,70.2
1953,55 - 59 years,Female,68.6
1953,60 - 64 years,Both sexes,120.5
1953,60 - 64 years,Male,60.2
1953,60 - 64 years,Female,60.3
1953,65 - 69 years,Both sexes,108.6
1953,65 - 69 years,Male,54.9
1953,65 - 69 years,Female,53.7
1953,65 years and over,Both sexes,317.8
1953,65 years and over,Male,155.9
1953,65 years and over,Female,161.9
1953,70 - 74 years,Both sexes,97.7
1953,70 - 74 years,Male,47.8
1953,70 - 74 years,Female,49.9
1953,75 - 79 years,Both sexes,65.4
1953,75 - 79 years,Male,32.1
1953,75 - 79 years,Female,33.3
1953,80 - 84 years,Both sexes,31.6
1953,80 - 84 years,Male,14.9
1953,80 - 84 years,Female,16.7
1953,85 years and over,Both sexes,14.5
1953,85 years and over,Male,6.2
1953,85 years and over,Female,8.3
1953,All ages,Both sexes,2949.0
1953,All ages,Male,1497.9
1953,All ages,Female,1451.1
1954,0 - 4 years,Both sexes,305.9
1954,0 - 4 years,Male,156.2
1954,0 - 4 years,Female,149.7
1954,0 - 14 years,Both sexes,870.0
1954,0 - 14 years,Male,444.4
1954,0 - 14 years,Female,425.6
1954,5 - 9 years,Both sexes,292.0
1954,5 - 9 years,Male,149.7
1954,5 - 9 years,Female,142.3
1954,10 - 14 years,Both sexes,272.1
1954,10 - 14 years,Male,138.5
1954,10 - 14 years,Female,133.6
1954,15 - 19 years,Both sexes,237.1
1954,15 - 19 years,Male,123.8
1954,15 - 19 years,Female,113.3
1954,15 - 24 years,Both sexes,426.5
1954,15 - 24 years,Male,221.7
1954,15 - 24 years,Female,204.8
1954,15 years and over,Both sexes,2071.2
1954,15 years and over,Male,1048.6
1954,15 years and over,Female,1022.6
1954,20 - 24 years,Both sexes,189.4
1954,20 - 24 years,Male,97.9
1954,20 - 24 years,Female,91.5
1954,25 - 29 years,Both sexes,182.2
1954,25 - 29 years,Male,90.9
1954,25 - 29 years,Female,91.3
1954,25 - 44 years,Both sexes,739.7
1954,25 - 44 years,Male,371.9
1954,25 - 44 years,Female,367.8
1954,30 - 34 years,Both sexes,182.8
1954,30 - 34 years,Male,91.1
1954,30 - 34 years,Female,91.7
1954,35 - 39 years,Both sexes,190.6
1954,35 - 39 years,Male,95.1
1954,35 - 39 years,Female,95.5
1954,40 - 44 years,Both sexes,184.1
1954,40 - 44 years,Male,94.8
1954,40 - 44 years,Female,89.3
1954,45 - 49 years,Both sexes,169.0
1954,45 - 49 years,Male,87.0
1954,45 - 49 years,Female,82.0
1954,45 - 64 years,Both sexes,586.7
1954,45 - 64 years,Male,298.7
1954,45 - 64 years,Female,288.0
1954,50 - 54 years,Both sexes,154.4
1954,50 - 54 years,Male,79.3
1954,50 - 54 years,Female,75.1
1954,55 - 59 years,Both sexes,143.6
1954,55 - 59 years,Male,72.7
1954,55 - 59 years,Female,70.9
1954,60 - 64 years,Both sexes,119.7
1954,60 - 64 years,Male,59.7
1954,60 - 64 years,Female,60.0
1954,65 - 69 years,Both sexes,109.0
1954,65 - 69 years,Male,55.2
1954,65 - 69 years,Female,53.8
1954,65 years and over,Both sexes,318.3
1954,65 years and over,Male,156.3
1954,65 years and over,Female,162.0
1954,70 - 74 years,Both sexes,96.3
1954,70 - 74 years,Male,47.1
1954,70 - 74 years,Female,49.2
1954,75 - 79 years,Both sexes,65.8
1954,75 - 79 years,Male,32.3
1954,75 - 79 years,Female,33.5
1954,80 - 84 years,Both sexes,32.1
1954,80 - 84 years,Male,15.1
1954,80 - 84 years,Female,17.0
1954,85 years and over,Both sexes,15.1
1954,85 years and over,Male,6.6
1954,85 years and over,Female,8.5
1954,All ages,Both sexes,2941.2
1954,All ages,Male,1493.0
1954,All ages,Female,1448.2
1955,0 - 4 years,Both sexes,302.1
1955,0 - 4 years,Male,153.8
1955,0 - 4 years,Female,148.3
1955,0 - 14 years,Both sexes,871.0
1955,0 - 14 years,Male,444.2
1955,0 - 14 years,Female,426.8
1955,5 - 9 years,Both sexes,294.3
1955,5 - 9 years,Male,150.8
1955,5 - 9 years,Female,143.5
1955,10 - 14 years,Both sexes,274.6
1955,10 - 14 years,Male,139.6
1955,10 - 14 years,Female,135.0
1955,15 - 19 years,Both sexes,234.7
1955,15 - 19 years,Male,122.4
1955,15 - 19 years,Female,112.3
1955,15 - 24 years,Both sexes,419.0
1955,15 - 24 years,Male,217.2
1955,15 - 24 years,Female,201.8
1955,15 years and over,Both sexes,2049.9
1955,15 years and over,Male,1034.9
1955,15 years and over,Female,1015.0
1955,20 - 24 years,Both sexes,184.3
1955,20 - 24 years,Male,94.8
1955,20 - 24 years,Female,89.5
1955,25 - 29 years,Both sexes,176.1
1955,25 - 29 years,Male,87.5
1955,25 - 29 years,Female,88.6
1955,25 - 44 years,Both sexes,725.8
1955,25 - 44 years,Male,362.8
1955,25 - 44 years,Female,363.0
1955,30 - 34 years,Both sexes,179.0
1955,30 - 34 years,Male,88.7
1955,30 - 34 years,Female,90.3
1955,35 - 39 years,Both sexes,186.2
1955,35 - 39 years,Male,92.1
1955,35 - 39 years,Female,94.1
1955,40 - 44 years,Both sexes,184.5
1955,40 - 44 years,Male,94.5
1955,40 - 44 years,Female,90.0
1955,45 - 49 years,Both sexes,170.3
1955,45 - 49 years,Male,87.9
1955,45 - 49 years,Female,82.4
1955,45 - 64 years,Both sexes,587.4
1955,45 - 64 years,Male,299.1
1955,45 - 64 years,Female,288.3
1955,50 - 54 years,Both sexes,150.9
1955,50 - 54 years,Male,77.6
1955,50 - 54 years,Female,73.3
1955,55 - 59 years,Both sexes,147.8
1955,55 - 59 years,Male,74.8
1955,55 - 59 years,Female,73.0
1955,60 - 64 years,Both sexes,118.4
1955,60 - 64 years,Male,58.8
1955,60 - 64 years,Female,59.6
1955,65 - 69 years,Both sexes,109.0
1955,65 - 69 years,Male,55.2
1955,65 - 69 years,Female,53.8
1955,65 years and over,Both sexes,317.7
1955,65 years and over,Male,155.8
1955,65 years and over,Female,161.9
1955,70 - 74 years,Both sexes,94.7
1955,70 - 74 years,Male,46.2
1955,70 - 74 years,Female,48.5
1955,75 - 79 years,Both sexes,65.9
1955,75 - 79 years,Male,32.3
1955,75 - 79 years,Female,33.6
1955,80 - 84 years,Both sexes,32.4
1955,80 - 84 years,Male,15.2
1955,80 - 84 years,Female,17.2
1955,85 years and over,Both sexes,15.7
1955,85 years and over,Male,6.9
1955,85 years and over,Female,8.8
1955,All ages,Both sexes,2920.9
1955,All ages,Male,1479.1
1955,All ages,Female,1441.8
1956,0 - 4 years,Both sexes,298.1
1956,0 - 4 years,Male,151.3
1956,0 - 4 years,Female,146.8
1956,0 - 14 years,Both sexes,870.8
1956,0 - 14 years,Male,443.2
1956,0 - 14 years,Female,427.6
1956,5 - 9 years,Both sexes,296.1
1956,5 - 9 years,Male,151.6
1956,5 - 9 years,Female,144.5
1956,10 - 14 years,Both sexes,276.6
1956,10 - 14 years,Male,140.3
1956,10 - 14 years,Female,136.3
1956,15 - 19 years,Both sexes,232.1
1956,15 - 19 years,Male,120.8
1956,15 - 19 years,Female,111.3
1956,15 - 24 years,Both sexes,411.2
1956,15 - 24 years,Male,212.4
1956,15 - 24 years,Female,198.8
1956,15 years and over,Both sexes,2027.7
1956,15 years and over,Male,1019.9
1956,15 years and over,Female,1007.8
1956,20 - 24 years,Both sexes,179.1
1956,20 - 24 years,Male,91.6
1956,20 - 24 years,Female,87.5
1956,25 - 29 years,Both sexes,169.8
1956,25 - 29 years,Male,84.0
1956,25 - 29 years,Female,85.8
1956,25 - 44 years,Both sexes,711.6
1956,25 - 44 years,Male,353.4
1956,25 - 44 years,Female,358.2
1956,30 - 34 years,Both sexes,175.2
1956,30 - 34 years,Male,86.3
1956,30 - 34 years,Female,88.9
1956,35 - 39 years,Both sexes,181.9
1956,35 - 39 years,Male,89.1
1956,35 - 39 years,Female,92.8
1956,40 - 44 years,Both sexes,184.7
1956,40 - 44 years,Male,94.0
1956,40 - 44 years,Female,90.7
1956,45 - 49 years,Both sexes,172.4
1956,45 - 49 years,Male,88.7
1956,45 - 49 years,Female,83.7
1956,45 - 64 years,Both sexes,588.3
1956,45 - 64 years,Male,299.0
1956,45 - 64 years,Female,289.3
1956,50 - 54 years,Both sexes,147.2
1956,50 - 54 years,Male,75.8
1956,50 - 54 years,Female,71.4
1956,55 - 59 years,Both sexes,151.8
1956,55 - 59 years,Male,76.7
1956,55 - 59 years,Female,75.1
1956,60 - 64 years,Both sexes,116.9
1956,60 - 64 years,Male,57.8
1956,60 - 64 years,Female,59.1
1956,65 - 69 years,Both sexes,108.9
1956,65 - 69 years,Male,55.2
1956,65 - 69 years,Female,53.7
1956,65 years and over,Both sexes,316.6
1956,65 years and over,Male,155.1
1956,65 years and over,Female,161.5
1956,70 - 74 years,Both sexes,93.0
1956,70 - 74 years,Male,45.2
1956,70 - 74 years,Female,47.8
1956,75 - 79 years,Both sexes,65.9
1956,75 - 79 years,Male,32.3
1956,75 - 79 years,Female,33.6
1956,80 - 84 years,Both sexes,32.6
1956,80 - 84 years,Male,15.2
1956,80 - 84 years,Female,17.4
1956,85 years and over,Both sexes,16.2
1956,85 years and over,Male,7.2
1956,85 years and over,Female,9.0
1956,All ages,Both sexes,2898.5
1956,All ages,Male,1463.1
1956,All ages,Female,1435.4
1957,0 - 4 years,Both sexes,299.0
1957,0 - 4 years,Male,152.0
1957,0 - 4 years,Female,147.0
1957,0 - 14 years,Both sexes,873.1
1957,0 - 14 years,Male,445.1
1957,0 - 14 years,Female,428.0
1957,5 - 9 years,Both sexes,294.7
1957,5 - 9 years,Male,150.9
1957,5 - 9 years,Female,143.8
1957,10 - 14 years,Both sexes,279.4
1957,10 - 14 years,Male,142.2
1957,10 - 14 years,Female,137.2
1957,15 - 19 years,Both sexes,232.7
1957,15 - 19 years,Male,120.9
1957,15 - 19 years,Female,111.8
1957,15 - 24 years,Both sexes,407.7
1957,15 - 24 years,Male,210.4
1957,15 - 24 years,Female,197.3
1957,15 years and over,Both sexes,2012.2
1957,15 years and over,Male,1011.0
1957,15 years and over,Female,1001.2
1957,20 - 24 years,Both sexes,175.0
1957,20 - 24 years,Male,89.5
1957,20 - 24 years,Female,85.5
1957,25 - 29 years,Both sexes,164.9
1957,25 - 29 years,Male,81.7
1957,25 - 29 years,Female,83.2
1957,25 - 44 years,Both sexes,696.7
1957,25 - 44 years,Male,345.9
1957,25 - 44 years,Female,350.8
1957,30 - 34 years,Both sexes,170.8
1957,30 - 34 years,Male,84.2
1957,30 - 34 years,Female,86.6
1957,35 - 39 years,Both sexes,179.0
1957,35 - 39 years,Male,87.7
1957,35 - 39 years,Female,91.3
1957,40 - 44 years,Both sexes,182.0
1957,40 - 44 years,Male,92.3
1957,40 - 44 years,Female,89.7
1957,45 - 49 years,Both sexes,173.0
1957,45 - 49 years,Male,88.9
1957,45 - 49 years,Female,84.1
1957,45 - 64 years,Both sexes,591.2
1957,45 - 64 years,Male,300.5
1957,45 - 64 years,Female,290.7
1957,50 - 54 years,Both sexes,149.4
1957,50 - 54 years,Male,77.1
1957,50 - 54 years,Female,72.3
1957,55 - 59 years,Both sexes,148.8
1957,55 - 59 years,Male,75.2
1957,55 - 59 years,Female,73.6
1957,60 - 64 years,Both sexes,120.0
1957,60 - 64 years,Male,59.3
1957,60 - 64 years,Female,60.7
1957,65 - 69 years,Both sexes,107.9
1957,65 - 69 years,Male,54.5
1957,65 - 69 years,Female,53.4
1957,65 years and over,Both sexes,316.6
1957,65 years and over,Male,154.2
1957,65 years and over,Female,162.4
1957,70 - 74 years,Both sexes,93.1
1957,70 - 74 years,Male,45.1
1957,70 - 74 years,Female,48.0
1957,75 - 79 years,Both sexes,65.4
1957,75 - 79 years,Male,31.8
1957,75 - 79 years,Female,33.6
1957,80 - 84 years,Both sexes,33.5
1957,80 - 84 years,Male,15.5
1957,80 - 84 years,Female,18.0
1957,85 years and over,Both sexes,16.7
1957,85 years and over,Male,7.3
1957,85 years and over,Female,9.4
1957,All ages,Both sexes,2885.3
1957,All ages,Male,1456.1
1957,All ages,Female,1429.2
1958,0 - 4 years,Both sexes,297.8
1958,0 - 4 years,Male,151.6
1958,0 - 4 years,Female,146.2
1958,0 - 14 years,Both sexes,869.5
1958,0 - 14 years,Male,443.9
1958,0 - 14 years,Female,425.6
1958,5 - 9 years,Both sexes,291.4
1958,5 - 9 years,Male,149.2
1958,5 - 9 years,Female,142.2
1958,10 - 14 years,Both sexes,280.3
1958,10 - 14 years,Male,143.1
1958,10 - 14 years,Female,137.2
1958,15 - 19 years,Both sexes,231.8
1958,15 - 19 years,Male,120.2
1958,15 - 19 years,Female,111.6
1958,15 - 24 years,Both sexes,401.5
1958,15 - 24 years,Male,206.9
1958,15 - 24 years,Female,194.6
1958,15 years and over,Both sexes,1983.2
1958,15 years and over,Male,995.0
1958,15 years and over,Female,988.2
1958,20 - 24 years,Both sexes,169.7
1958,20 - 24 years,Male,86.7
1958,20 - 24 years,Female,83.0
1958,25 - 29 years,Both sexes,159.1
1958,25 - 29 years,Male,78.9
1958,25 - 29 years,Female,80.2
1958,25 - 44 years,Both sexes,677.4
1958,25 - 44 years,Male,336.1
1958,25 - 44 years,Female,341.3
1958,30 - 34 years,Both sexes,165.3
1958,30 - 34 years,Male,81.5
1958,30 - 34 years,Female,83.8
1958,35 - 39 years,Both sexes,175.0
1958,35 - 39 years,Male,85.8
1958,35 - 39 years,Female,89.2
1958,40 - 44 years,Both sexes,178.0
1958,40 - 44 years,Male,89.9
1958,40 - 44 years,Female,88.1
1958,45 - 49 years,Both sexes,172.5
1958,45 - 49 years,Male,88.5
1958,45 - 49 years,Female,84.0
1958,45 - 64 years,Both sexes,589.8
1958,45 - 64 years,Male,299.8
1958,45 - 64 years,Female,290.0
1958,50 - 54 years,Both sexes,150.5
1958,50 - 54 years,Male,77.9
1958,50 - 54 years,Female,72.6
1958,55 - 59 years,Both sexes,144.7
1958,55 - 59 years,Male,73.1
1958,55 - 59 years,Female,71.6
1958,60 - 64 years,Both sexes,122.1
1958,60 - 64 years,Male,60.3
1958,60 - 64 years,Female,61.8
1958,65 - 69 years,Both sexes,106.1
1958,65 - 69 years,Male,53.3
1958,65 - 69 years,Female,52.8
1958,65 years and over,Both sexes,314.5
1958,65 years and over,Male,152.2
1958,65 years and over,Female,162.3
1958,70 - 74 years,Both sexes,92.5
1958,70 - 74 years,Male,44.6
1958,70 - 74 years,Female,47.9
1958,75 - 79 years,Both sexes,64.5
1958,75 - 79 years,Male,31.1
1958,75 - 79 years,Female,33.4
1958,80 - 84 years,Both sexes,34.3
1958,80 - 84 years,Male,15.8
1958,80 - 84 years,Female,18.5
1958,85 years and over,Both sexes,17.1
1958,85 years and over,Male,7.4
1958,85 years and over,Female,9.7
1958,All ages,Both sexes,2852.7
1958,All ages,Male,1438.9
1958,All ages,Female,1413.8
1959,0 - 4 years,Both sexes,299.3
1959,0 - 4 years,Male,152.6
1959,0 - 4 years,Female,146.7
1959,0 - 14 years,Both sexes,873.5
1959,0 - 14 years,Male,446.6
1959,0 - 14 years,Female,426.9
1959,5 - 9 years,Both sexes,290.6
1959,5 - 9 years,Male,148.8
1959,5 - 9 years,Female,141.8
1959,10 - 14 years,Both sexes,283.6
1959,10 - 14 years,Male,145.2
1959,10 - 14 years,Female,138.4
1959,15 - 19 years,Both sexes,232.8
1959,15 - 19 years,Male,120.5
1959,15 - 19 years,Female,112.3
1959,15 - 24 years,Both sexes,398.6
1959,15 - 24 years,Male,205.0
1959,15 - 24 years,Female,193.6
1959,15 years and over,Both sexes,1972.1
1959,15 years and over,Male,988.0
1959,15 years and over,Female,984.1
1959,20 - 24 years,Both sexes,165.8
1959,20 - 24 years,Male,84.5
1959,20 - 24 years,Female,81.3
1959,25 - 29 years,Both sexes,154.8
1959,25 - 29 years,Male,76.9
1959,25 - 29 years,Female,77.9
1959,25 - 44 years,Both sexes,664.4
1959,25 - 44 years,Male,329.5
1959,25 - 44 years,Female,334.9
1959,30 - 34 years,Both sexes,161.4
1959,30 - 34 years,Male,79.6
1959,30 - 34 years,Female,81.8
1959,35 - 39 years,Both sexes,172.5
1959,35 - 39 years,Male,84.6
1959,35 - 39 years,Female,87.9
1959,40 - 44 years,Both sexes,175.7
1959,40 - 44 years,Male,88.4
1959,40 - 44 years,Female,87.3
1959,45 - 49 years,Both sexes,173.5
1959,45 - 49 years,Male,88.9
1959,45 - 49 years,Female,84.6
1959,45 - 64 years,Both sexes,593.9
1959,45 - 64 years,Male,301.9
1959,45 - 64 years,Female,292.0
1959,50 - 54 years,Both sexes,153.0
1959,50 - 54 years,Male,79.4
1959,50 - 54 years,Female,73.6
1959,55 - 59 years,Both sexes,142.1
1959,55 - 59 years,Male,71.8
1959,55 - 59 years,Female,70.3
1959,60 - 64 years,Both sexes,125.3
1959,60 - 64 years,Male,61.8
1959,60 - 64 years,Female,63.5
1959,65 - 69 years,Both sexes,105.4
1959,65 - 69 years,Male,52.7
1959,65 - 69 years,Female,52.7
1959,65 years and over,Both sexes,315.2
1959,65 years and over,Male,151.6
1959,65 years and over,Female,163.6
1959,70 - 74 years,Both sexes,92.8
1959,70 - 74 years,Male,44.6
1959,70 - 74 years,Female,48.2
1959,75 - 79 years,Both sexes,64.2
1959,75 - 79 years,Male,30.7
1959,75 - 79 years,Female,33.5
1959,80 - 84 years,Both sexes,35.2
1959,80 - 84 years,Male,16.1
1959,80 - 84 years,Female,19.1
1959,85 years and over,Both sexes,17.6
1959,85 years and over,Male,7.5
1959,85 years and over,Female,10.1
