year,0 - 14 years_emigrants,15 - 24 years_emigrants,25 - 44 years_emigrants,45 - 64 years_emigrants,65 years and over_emigrants,All ages_emigrants,0 - 14 years_immigrants,15 - 24 years_immigrants,25 - 44 years_immigrants,45 - 64 years_immigrants,65 years and over_immigrants,All ages_immigrants,0 - 14 years_migration,15 - 24 years_migration,25 - 44 years_migration,45 - 64 years_migration,65 years and over_migration,All ages_migration,Unnamed: 0_x,sex,0 - 14 years,1 - 4 years,15 - 24 years,15 years and over,25 - 44 years,45 - 64 years,65 years and over,All ages,Under 1 year,Unnamed: 0_y,index,endpoint,All countries,Australia,Canada,EU14_excl_Irl_UK,EU15_to_27,other_countries_23,UK,USA
1988,16.6,62.5,36.6,6.4,0.0,61.1,6.0,10.8,14.4,4.300000000000001,2.8,19.2,-10.600000000000001,-51.7,-22.2,-2.1,2.8,-41.9,114,Both sexes,993.9,246.4,608.8,2536.9,939.3,595.6,393.2,3530.7,57.3,11,11,Net migration,-41.9,10.4,1.1,-0.2,0.0,-6.8,-30.3,-4.5
1988,16.6,62.5,36.6,6.4,0.0,61.1,6.0,10.8,14.4,4.300000000000001,2.8,19.2,-10.600000000000001,-51.7,-22.2,-2.1,2.8,-41.9,115,Female,484.1,119.7,299.9,1287.8,468.8,297.3,221.8,1771.9,28.0,12,12,Emigrants: All destinations,-36.83333333333333,10.4,1.1,1.3,0.0,5.0,16.7,4.2
1988,16.6,62.5,36.6,6.4,0.0,61.1,6.0,10.8,14.4,4.300000000000001,2.8,19.2,-10.600000000000001,-51.7,-22.2,-2.1,2.8,-41.9,115,Female,484.1,119.7,299.9,1287.8,468.8,297.3,221.8,1771.9,28.0,13,13,Immigrants: All origins,-31.766666666666666,10.4,1.1,1.4,0.0,1.7,4.5,1.7
1988,16.6,62.5,36.6,6.4,0.0,61.1,6.0,10.8,14.4,4.300000000000001,2.8,19.2,-10.600000000000001,-51.7,-22.2,-2.1,2.8,-41.9,115,Female,484.1,119.7,299.9,1287.8,468.8,297.3,221.8,1771.9,28.0,14,14,Net migration,-26.7,10.4,1.1,-15.3,0.0,3.3,-12.2,-2.5
1988,16.6,62.5,36.6,6.4,0.0,61.1,6.0,10.8,14.4,4.300000000000001,2.8,19.2,-10.600000000000001,-51.7,-22.2,-2.1,2.8,-41.9,116,Male,509.7,126.7,308.9,1249.0,470.3,298.3,171.5,1758.8,29.2,15,15,Emigrants: All destinations,-25.866666666666667,10.4,1.1,1.5,0.0,5.3,23.5,3.8
1988,16.6,62.5,36.6,6.4,0.0,61.1,6.0,10.8,14.4,4.300000000000001,2.8,19.2,-10.600000000000001,-51.7,-22.2,-2.1,2.8,-41.9,116,Male,509.7,126.7,308.9,1249.0,470.3,298.3,171.5,1758.8,29.2,16,16,Immigrants: All origins,-25.03333333333333,10.4,1.1,1.2,0.0,1.6,5.4,1.7
1988,16.6,62.5,36.6,6.4,0.0,61.1,6.0,10.8,14.4,4.300000000000001,2.8,19.2,-10.600000000000001,-51.7,-22.2,-2.1,2.8,-41.9,116,Male,509.7,126.7,308.9,1249.0,470.3,298.3,171.5,1758.8,29.2,17,17,Net migration,-24.2,10.4,1.1,-0.3,0.0,-3.7,-18.1,-2.1
1989,15.6,74.0,43.8,7.5,0.0,70.6,8.8,15.4,21.1,4.4,3.7,26.7,-6.799999999999999,-58.6,-22.7,-3.0999999999999996,3.7,-43.9,117,Both sexes,973.5,238.9,597.6,2536.0,941.2,599.8,397.4,3509.5,53.4,18,18,Emigrants: All destinations,70.6,10.4,1.1,3.9,0.0,10.0,48.4,8.2
1989,15.6,74.0,43.8,7.5,0.0,70.6,8.8,15.4,21.1,4.4,3.7,26.7,-6.799999999999999,-58.6,-22.7,-3.0999999999999996,3.7,-43.9,117,Both sexes,973.5,238.9,597.6,2536.0,941.2,599.8,397.4,3509.5,53.4,19,19,Immigrants: All origins,26.7,10.4,1.1,3.6,0.0,5.8,14.2,3.1
1989,15.6,74.0,43.8,7.5,0.0,70.6,8.8,15.4,21.1,4.4,3.7,26.7,-6.799999999999999,-58.6,-22.7,-3.0999999999999996,3.7,-43.9,117,Both sexes,973.5,238.9,597.6,2536.0,941.2,599.8,397.4,3509.5,53.4,20,20,Net migration,-43.9,10.4,1.1,-0.3,0.0,-4.2,-34.2,-5.4
1989,15.6,74.0,43.8,7.5,0.0,70.6,8.8,15.4,21.1,4.4,3.7,26.7,-6.799999999999999,-58.6,-22.7,-3.0999999999999996,3.7,-43.9,118,Female,474.0,116.4,294.4,1291.5,472.6,299.6,224.9,1765.5,26.0,21,21,Emigrants: All destinations,-39.53333333333333,10.4,1.1,2.2,0.0,5.3,19.9,3.9
1989,15.6,74.0,43.8,7.5,0.0,70.6,8.8,15.4,21.1,4.4,3.7,26.7,-6.799999999999999,-58.6,-22.7,-3.0999999999999996,3.7,-43.9,118,Female,474.0,116.4,294.4,1291.5,472.6,299.6,224.9,1765.5,26.0,22,22,Immigrants: All origins,-35.166666666666664,10.4,1.1,2.2,0.0,2.7,6.7,1.4
1989,15.6,74.0,43.8,7.5,0.0,70.6,8.8,15.4,21.1,4.4,3.7,26.7,-6.799999999999999,-58.6,-22.7,-3.0999999999999996,3.7,-43.9,118,Female,474.0,116.4,294.4,1291.5,472.6,299.6,224.9,1765.5,26.0,23,23,Net migration,-30.8,10.4,1.1,-17.7,0.0,2.6,-13.2,-2.5
1989,15.6,74.0,43.8,7.5,0.0,70.6,8.8,15.4,21.1,4.4,3.7,26.7,-6.799999999999999,-58.6,-22.7,-3.0999999999999996,3.7,-43.9,119,Male,499.4,122.5,303.2,1244.6,468.5,300.2,172.7,1744.1,27.3,24,24,Emigrants: All destinations,-29.066666666666663,10.4,1.1,1.7,0.0,4.7,28.5,4.3
1989,15.6,74.0,43.8,7.5,0.0,70.6,8.8,15.4,21.1,4.4,3.7,26.7,-6.799999999999999,-58.6,-22.7,-3.0999999999999996,3.7,-43.9,119,Male,499.4,122.5,303.2,1244.6,468.5,300.2,172.7,1744.1,27.3,25,25,Immigrants: All origins,-27.333333333333336,10.4,1.1,1.4,0.0,3.2,7.4,1.6
1989,15.6,74.0,43.8,7.5,0.0,70.6,8.8,15.4,21.1,4.4,3.7,26.7,-6.799999999999999,-58.6,-22.7,-3.0999999999999996,3.7,-43.9,119,Male,499.4,122.5,303.2,1244.6,468.5,300.2,172.7,1744.1,27.3,26,26,Net migration,-25.6,10.4,1.1,-0.3,0.0,-1.5,-21.1,-2.7
1990,13.4,61.6,33.8,3.8,0.0,56.3,10.4,20.2,27.9,5.4,2.7,33.3,-3.0,-41.400000000000006,-5.899999999999998,1.6,2.7,-22.9,120,Both sexes,954.6,230.5,594.1,2551.3,949.1,608.1,400.0,3505.8,51.7,27,27,Emigrants: All destinations,56.3,10.4,1.1,5.1,0.0,7.6,35.8,7.7
1990,13.4,61.6,33.8,3.8,0.0,56.3,10.4,20.2,27.9,5.4,2.7,33.3,-3.0,-41.400000000000006,-5.899999999999998,1.6,2.7,-22.9,120,Both sexes,954.6,230.5,594.1,2551.3,949.1,608.1,400.0,3505.8,51.7,28,28,Immigrants: All origins,33.3,10.4,1.1,5.0,0.0,6.9,17.6,3.9
1990,13.4,61.6,33.8,3.8,0.0,56.3,10.4,20.2,27.9,5.4,2.7,33.3,-3.0,-41.400000000000006,-5.899999999999998,1.6,2.7,-22.9,120,Both sexes,954.6,230.5,594.1,2551.3,949.1,608.1,400.0,3505.8,51.7,29,29,Net migration,-22.9,10.4,1.1,-0.1,0.0,-0.7,-18.2,-3.8
1990,13.4,61.6,33.8,3.8,0.0,56.3,10.4,20.2,27.9,5.4,2.7,33.3,-3.0,-41.400000000000006,-5.899999999999998,1.6,2.7,-22.9,121,Female,464.8,112.8,291.0,1298.2,477.3,303.2,226.7,1763.1,25.1,30,30,Emigrants: All destinations,-23.53333333333333,10.4,1.1,2.9,0.0,4.0,17.1,3.6
1990,13.4,61.6,33.8,3.8,0.0,56.3,10.4,20.2,27.9,5.4,2.7,33.3,-3.0,-41.400000000000006,-5.899999999999998,1.6,2.7,-22.9,121,Female,464.8,112.8,291.0,1298.2,477.3,303.2,226.7,1763.1,25.1,31,31,Immigrants: All origins,-24.166666666666668,10.4,1.1,2.7,0.0,3.3,7.7,1.9
1990,13.4,61.6,33.8,3.8,0.0,56.3,10.4,20.2,27.9,5.4,2.7,33.3,-3.0,-41.400000000000006,-5.899999999999998,1.6,2.7,-22.9,121,Female,464.8,112.8,291.0,1298.2,477.3,303.2,226.7,1763.1,25.1,32,32,Net migration,-24.8,10.4,1.1,-14.4,0.0,0.7,-9.4,-1.7
1990,13.4,61.6,33.8,3.8,0.0,56.3,10.4,20.2,27.9,5.4,2.7,33.3,-3.0,-41.400000000000006,-5.899999999999998,1.6,2.7,-22.9,122,Male,489.7,117.7,303.1,1253.0,471.8,304.8,173.3,1742.8,26.6,33,33,Emigrants: All destinations,-20.166666666666668,10.4,1.1,2.2,0.0,3.6,18.7,4.1
1990,13.4,61.6,33.8,3.8,0.0,56.3,10.4,20.2,27.9,5.4,2.7,33.3,-3.0,-41.400000000000006,-5.899999999999998,1.6,2.7,-22.9,122,Male,489.7,117.7,303.1,1253.0,471.8,304.8,173.3,1742.8,26.6,34,34,Immigrants: All origins,-15.533333333333331,10.4,1.1,2.2,0.0,3.6,9.9,2.0
1990,13.4,61.6,33.8,3.8,0.0,56.3,10.4,20.2,27.9,5.4,2.7,33.3,-3.0,-41.400000000000006,-5.899999999999998,1.6,2.7,-22.9,122,Male,489.7,117.7,303.1,1253.0,471.8,304.8,173.3,1742.8,26.6,35,35,Net migration,-10.9,10.4,1.1,0.0,0.0,0.0,-8.8,-2.1
1991,9.2,39.8,21.0,0.8,0.0,35.3,10.5,18.6,29.1,5.0,3.4,33.3,1.3000000000000012,-21.2,8.1,4.2,3.4,-2.0,123,Both sexes,940.6,220.7,601.6,2585.1,959.0,621.7,402.9,3525.7,53.0,36,36,Emigrants: All destinations,35.3,10.4,1.1,3.1,0.0,4.4,23.0,4.8
1991,9.2,39.8,21.0,0.8,0.0,35.3,10.5,18.6,29.1,5.0,3.4,33.3,1.3000000000000012,-21.2,8.1,4.2,3.4,-2.0,123,Both sexes,940.6,220.7,601.6,2585.1,959.0,621.7,402.9,3525.7,53.0,37,37,Immigrants: All origins,33.3,10.4,1.1,4.2,0.0,6.1,18.7,4.3
1991,9.2,39.8,21.0,0.8,0.0,35.3,10.5,18.6,29.1,5.0,3.4,33.3,1.3000000000000012,-21.2,8.1,4.2,3.4,-2.0,123,Both sexes,940.6,220.7,601.6,2585.1,959.0,621.7,402.9,3525.7,53.0,38,38,Net migration,-2.0,10.4,1.1,1.1,0.0,1.7,-4.3,-0.5
1991,9.2,39.8,21.0,0.8,0.0,35.3,10.5,18.6,29.1,5.0,3.4,33.3,1.3000000000000012,-21.2,8.1,4.2,3.4,-2.0,124,Female,457.7,107.5,293.7,1314.6,482.6,309.1,229.2,1772.3,25.7,39,39,Emigrants: All destinations,-5.366666666666667,10.4,1.1,1.7,0.0,2.7,10.8,2.5
1991,9.2,39.8,21.0,0.8,0.0,35.3,10.5,18.6,29.1,5.0,3.4,33.3,1.3000000000000012,-21.2,8.1,4.2,3.4,-2.0,124,Female,457.7,107.5,293.7,1314.6,482.6,309.1,229.2,1772.3,25.7,40,40,Immigrants: All origins,-8.733333333333334,10.4,1.1,2.3,0.0,3.2,8.1,2.1
1991,9.2,39.8,21.0,0.8,0.0,35.3,10.5,18.6,29.1,5.0,3.4,33.3,1.3000000000000012,-21.2,8.1,4.2,3.4,-2.0,124,Female,457.7,107.5,293.7,1314.6,482.6,309.1,229.2,1772.3,25.7,41,41,Net migration,-12.1,10.4,1.1,-8.5,0.0,-0.5,-2.7,-0.4
1991,9.2,39.8,21.0,0.8,0.0,35.3,10.5,18.6,29.1,5.0,3.4,33.3,1.3000000000000012,-21.2,8.1,4.2,3.4,-2.0,125,Male,482.8,113.2,307.9,1270.6,476.4,312.6,173.7,1753.4,27.4,42,42,Emigrants: All destinations,-8.1,10.4,1.1,1.4,0.0,1.8,12.2,2.3
1991,9.2,39.8,21.0,0.8,0.0,35.3,10.5,18.6,29.1,5.0,3.4,33.3,1.3000000000000012,-21.2,8.1,4.2,3.4,-2.0,125,Male,482.8,113.2,307.9,1270.6,476.4,312.6,173.7,1753.4,27.4,43,43,Immigrants: All origins,-4.1,10.4,1.1,1.9,0.0,2.9,10.6,2.2
1991,9.2,39.8,21.0,0.8,0.0,35.3,10.5,18.6,29.1,5.0,3.4,33.3,1.3000000000000012,-21.2,8.1,4.2,3.4,-2.0,125,Male,482.8,113.2,307.9,1270.6,476.4,312.6,173.7,1753.4,27.4,44,44,Net migration,-0.1,10.4,1.1,0.5,0.0,1.1,-1.6,-0.1
1992,1.4,45.0,17.6,2.4,0.4,33.4,12.4,25.0,33.0,8.2,2.8,40.7,11.0,-20.0,15.4,5.799999999999999,2.4,7.4,126,Both sexes,930.9,217.1,610.2,2623.7,970.7,637.0,405.8,3554.5,52.4,45,45,Emigrants: All destinations,33.4,10.4,1.1,7.5,0.0,5.5,16.9,3.5
1992,1.4,45.0,17.6,2.4,0.4,33.4,12.4,25.0,33.0,8.2,2.8,40.7,11.0,-20.0,15.4,5.799999999999999,2.4,7.4,126,Both sexes,930.9,217.1,610.2,2623.7,970.7,637.0,405.8,3554.5,52.4,46,46,Immigrants: All origins,40.7,10.4,1.1,6.5,0.0,6.9,22.7,4.6
1992,1.4,45.0,17.6,2.4,0.4,33.4,12.4,25.0,33.0,8.2,2.8,40.7,11.0,-20.0,15.4,5.799999999999999,2.4,7.4,126,Both sexes,930.9,217.1,610.2,2623.7,970.7,637.0,405.8,3554.5,52.4,47,47,Net migration,7.4,10.4,1.1,-1.0,0.0,1.4,5.8,1.1
1992,1.4,45.0,17.6,2.4,0.4,33.4,12.4,25.0,33.0,8.2,2.8,40.7,11.0,-20.0,15.4,5.799999999999999,2.4,7.4,127,Female,452.8,105.8,297.2,1333.4,489.1,315.8,231.3,1786.1,25.5,48,48,Emigrants: All destinations,16.0,10.4,1.1,4.0,0.0,3.1,7.5,1.5
1992,1.4,45.0,17.6,2.4,0.4,33.4,12.4,25.0,33.0,8.2,2.8,40.7,11.0,-20.0,15.4,5.799999999999999,2.4,7.4,127,Female,452.8,105.8,297.2,1333.4,489.1,315.8,231.3,1786.1,25.5,49,49,Immigrants: All origins,18.9,10.4,1.1,3.2,0.0,3.5,9.7,2.5
1992,1.4,45.0,17.6,2.4,0.4,33.4,12.4,25.0,33.0,8.2,2.8,40.7,11.0,-20.0,15.4,5.799999999999999,2.4,7.4,127,Female,452.8,105.8,297.2,1333.4,489.1,315.8,231.3,1786.1,25.5,50,50,Net migration,2.9,10.4,1.1,-4.3,0.0,-0.4,2.2,1.0
1992,1.4,45.0,17.6,2.4,0.4,33.4,12.4,25.0,33.0,8.2,2.8,40.7,11.0,-20.0,15.4,5.799999999999999,2.4,7.4,128,Male,478.1,111.3,313.0,1290.5,481.6,321.3,174.6,1768.4,26.9,51,51,Emigrants: All destinations,17.3,10.4,1.1,3.5,0.0,2.4,9.4,2.0
1992,1.4,45.0,17.6,2.4,0.4,33.4,12.4,25.0,33.0,8.2,2.8,40.7,11.0,-20.0,15.4,5.799999999999999,2.4,7.4,128,Male,478.1,111.3,313.0,1290.5,481.6,321.3,174.6,1768.4,26.9,52,52,Immigrants: All origins,21.8,10.4,1.1,3.4,0.0,3.4,13.0,2.1
1992,1.4,45.0,17.6,2.4,0.4,33.4,12.4,25.0,33.0,8.2,2.8,40.7,11.0,-20.0,15.4,5.799999999999999,2.4,7.4,128,Male,478.1,111.3,313.0,1290.5,481.6,321.3,174.6,1768.4,26.9,53,53,Net migration,4.4,10.4,1.1,-0.1,0.0,1.0,3.6,0.1
1993,2.2,47.2,18.2,2.4,0.4,35.1,11.1,20.5,28.9,7.2,1.7000000000000002,34.7,8.9,-26.7,10.700000000000001,4.800000000000001,1.3,-0.4,129,Both sexes,917.0,214.3,615.9,2657.2,979.0,654.3,408.0,3574.1,50.2,54,54,Emigrants: All destinations,35.1,10.4,1.1,7.3,0.0,5.8,16.4,5.6
1993,2.2,47.2,18.2,2.4,0.4,35.1,11.1,20.5,28.9,7.2,1.7000000000000002,34.7,8.9,-26.7,10.700000000000001,4.800000000000001,1.3,-0.4,129,Both sexes,917.0,214.3,615.9,2657.2,979.0,654.3,408.0,3574.1,50.2,55,55,Immigrants: All origins,34.7,10.4,1.1,6.6,0.0,5.7,17.5,5.0
1993,2.2,47.2,18.2,2.4,0.4,35.1,11.1,20.5,28.9,7.2,1.7000000000000002,34.7,8.9,-26.7,10.700000000000001,4.800000000000001,1.3,-0.4,129,Both sexes,917.0,214.3,615.9,2657.2,979.0,654.3,408.0,3574.1,50.2,56,56,Net migration,-0.4,10.4,1.1,-0.7,0.0,-0.1,1.1,-0.6
1993,2.2,47.2,18.2,2.4,0.4,35.1,11.1,20.5,28.9,7.2,1.7000000000000002,34.7,8.9,-26.7,10.700000000000001,4.800000000000001,1.3,-0.4,130,Female,446.0,104.3,299.6,1350.0,493.6,324.0,232.8,1796.1,24.3,57,57,Emigrants: All destinations,17.5,10.4,1.1,3.9,0.0,2.9,8.2,2.5
1993,2.2,47.2,18.2,2.4,0.4,35.1,11.1,20.5,28.9,7.2,1.7000000000000002,34.7,8.9,-26.7,10.700000000000001,4.800000000000001,1.3,-0.4,130,Female,446.0,104.3,299.6,1350.0,493.6,324.0,232.8,1796.1,24.3,58,58,Immigrants: All origins,17.3,10.4,1.1,3.8,0.0,2.6,8.4,2.5
1993,2.2,47.2,18.2,2.4,0.4,35.1,11.1,20.5,28.9,7.2,1.7000000000000002,34.7,8.9,-26.7,10.700000000000001,4.800000000000001,1.3,-0.4,130,Female,446.0,104.3,299.6,1350.0,493.6,324.0,232.8,1796.1,24.3,59,59,Net migration,-0.2,10.4,1.1,-4.4,0.0,0.3,0.2,0.0
1993,2.2,47.2,18.2,2.4,0.4,35.1,11.1,20.5,28.9,7.2,1.7000000000000002,34.7,8.9,-26.7,10.700000000000001,4.800000000000001,1.3,-0.4,131,Male,470.9,110.0,316.2,1307.1,485.4,330.4,175.1,1778.0,25.9,60,60,Emigrants: All destinations,17.6,10.4,1.1,3.4,0.0,3.0,8.2,3.1
1993,2.2,47.2,18.2,2.4,0.4,35.1,11.1,20.5,28.9,7.2,1.7000000000000002,34.7,8.9,-26.7,10.700000000000001,4.800000000000001,1.3,-0.4,131,Male,470.9,110.0,316.2,1307.1,485.4,330.4,175.1,1778.0,25.9,61,61,Immigrants: All origins,17.4,10.4,1.1,2.9,0.0,3.1,9.0,2.5
1993,2.2,47.2,18.2,2.4,0.4,35.1,11.1,20.5,28.9,7.2,1.7000000000000002,34.7,8.9,-26.7,10.700000000000001,4.800000000000001,1.3,-0.4,131,Male,470.9,110.0,316.2,1307.1,485.4,330.4,175.1,1778.0,25.9,62,62,Net migration,-0.2,10.4,1.1,-0.5,0.0,0.1,0.8,-0.6
1994,2.6999999999999997,49.2,16.4,1.2,0.0,34.8,8.8,19.4,24.2,6.1,1.7000000000000002,30.1,6.1000000000000005,-29.8,7.8,4.9,1.7000000000000002,-4.7,132,Both sexes,898.5,211.4,621.1,2687.2,986.5,671.0,408.6,3585.9,48.8,63,63,Emigrants: All destinations,34.8,10.4,1.1,5.5,0.0,4.9,14.8,9.6
1994,2.6999999999999997,49.2,16.4,1.2,0.0,34.8,8.8,19.4,24.2,6.1,1.7000000000000002,30.1,6.1000000000000005,-29.8,7.8,4.9,1.7000000000000002,-4.7,132,Both sexes,898.5,211.4,621.1,2687.2,986.5,671.0,408.6,3585.9,48.8,64,64,Immigrants: All origins,30.1,10.4,1.1,5.8,0.0,4.8,15.2,4.3
1994,2.6999999999999997,49.2,16.4,1.2,0.0,34.8,8.8,19.4,24.2,6.1,1.7000000000000002,30.1,6.1000000000000005,-29.8,7.8,4.9,1.7000000000000002,-4.7,132,Both sexes,898.5,211.4,621.1,2687.2,986.5,671.0,408.6,3585.9,48.8,65,65,Net migration,-4.7,10.4,1.1,0.3,0.0,-0.1,0.4,-5.3
1994,2.6999999999999997,49.2,16.4,1.2,0.0,34.8,8.8,19.4,24.2,6.1,1.7000000000000002,30.1,6.1000000000000005,-29.8,7.8,4.9,1.7000000000000002,-4.7,133,Female,436.4,102.6,303.0,1366.4,497.4,332.5,233.5,1802.6,23.6,66,66,Emigrants: All destinations,17.3,10.4,1.1,2.9,0.0,2.7,7.1,4.6
1994,2.6999999999999997,49.2,16.4,1.2,0.0,34.8,8.8,19.4,24.2,6.1,1.7000000000000002,30.1,6.1000000000000005,-29.8,7.8,4.9,1.7000000000000002,-4.7,133,Female,436.4,102.6,303.0,1366.4,497.4,332.5,233.5,1802.6,23.6,67,67,Immigrants: All origins,15.3,10.4,1.1,3.1,0.0,2.6,7.4,2.2
1994,2.6999999999999997,49.2,16.4,1.2,0.0,34.8,8.8,19.4,24.2,6.1,1.7000000000000002,30.1,6.1000000000000005,-29.8,7.8,4.9,1.7000000000000002,-4.7,133,Female,436.4,102.6,303.0,1366.4,497.4,332.5,233.5,1802.6,23.6,68,68,Net migration,-2.0,10.4,1.1,-4.0,0.0,0.1,0.3,-2.4
1994,2.6999999999999997,49.2,16.4,1.2,0.0,34.8,8.8,19.4,24.2,6.1,1.7000000000000002,30.1,6.1000000000000005,-29.8,7.8,4.9,1.7000000000000002,-4.7,134,Male,462.4,108.9,318.1,1321.1,489.1,338.7,175.2,1783.3,25.2,69,69,Emigrants: All destinations,17.6,10.4,1.1,2.6,0.0,2.2,7.7,5.0
1994,2.6999999999999997,49.2,16.4,1.2,0.0,34.8,8.8,19.4,24.2,6.1,1.7000000000000002,30.1,6.1000000000000005,-29.8,7.8,4.9,1.7000000000000002,-4.7,134,Male,462.4,108.9,318.1,1321.1,489.1,338.7,175.2,1783.3,25.2,70,70,Immigrants: All origins,14.8,10.4,1.1,2.7,0.0,2.2,7.8,2.1
1994,2.6999999999999997,49.2,16.4,1.2,0.0,34.8,8.8,19.4,24.2,6.1,1.7000000000000002,30.1,6.1000000000000005,-29.8,7.8,4.9,1.7000000000000002,-4.7,134,Male,462.4,108.9,318.1,1321.1,489.1,338.7,175.2,1783.3,25.2,71,71,Net migration,-2.7,10.4,1.1,0.1,0.0,0.0,0.1,-2.9
1995,2.4,45.2,16.9,1.6,0.0,33.1,10.6,16.0,29.2,5.2,1.4,31.2,8.2,-29.200000000000003,12.299999999999999,3.6,1.4,-1.9,135,Both sexes,878.0,207.3,625.6,2723.4,999.7,686.8,411.3,3601.3,48.2,72,72,Emigrants: All destinations,33.1,10.4,1.1,5.1,0.0,6.6,13.3,8.2
1995,2.4,45.2,16.9,1.6,0.0,33.1,10.6,16.0,29.2,5.2,1.4,31.2,8.2,-29.200000000000003,12.299999999999999,3.6,1.4,-1.9,135,Both sexes,878.0,207.3,625.6,2723.4,999.7,686.8,411.3,3601.3,48.2,73,73,Immigrants: All origins,31.2,10.4,1.1,6.3,0.0,5.5,15.6,3.8
