,year,age_group,sex,migration,value
123,1989,0 - 14 years,Female,Net migration,
124,1989,0 - 14 years,Female,Emigrants: All destinations,3.7
125,1989,0 - 14 years,Female,Immigrants: All origins,2.1
126,1989,15 - 24 years,Both sexes,Net migration,
127,1989,15 - 24 years,Both sexes,Emigrants: All destinations,37.0
128,1989,15 - 24 years,Both sexes,Immigrants: All origins,7.7
129,1989,15 - 24 years,Male,Net migration,
130,1989,15 - 24 years,Male,Emigrants: All destinations,19.2
131,1989,15 - 24 years,Male,Immigrants: All origins,3.7
132,1989,15 - 24 years,Female,Net migration,
133,1989,15 - 24 years,Female,Emigrants: All destinations,17.8
134,1989,15 - 24 years,Female,Immigrants: All origins,4.0
135,1989,25 - 44 years,Both sexes,Net migration,
136,1989,25 - 44 years,Both sexes,Emigrants: All destinations,21.9
137,1989,25 - 44 years,Both sexes,Immigrants: All origins,10.6
138,1989,25 - 44 years,Male,Net migration,
139,1989,25 - 44 years,Male,Emigrants: All destinations,13.7
140,1989,25 - 44 years,Male,Immigrants: All origins,5.8
141,1989,25 - 44 years,Female,Net migration,
142,1989,25 - 44 years,Female,Emigrants: All destinations,8.2
143,1989,25 - 44 years,Female,Immigrants: All origins,4.7
144,1989,45 - 64 years,Both sexes,Net migration,
145,1989,45 - 64 years,Both sexes,Emigrants: All destinations,3.8
146,1989,45 - 64 years,Both sexes,Immigrants: All origins,2.2
147,1989,45 - 64 years,Male,Net migration,
148,1989,45 - 64 years,Male,Emigrants: All destinations,2.2
149,1989,45 - 64 years,Male,Immigrants: All origins,0.8
150,1989,45 - 64 years,Female,Net migration,
151,1989,45 - 64 years,Female,Emigrants: All destinations,1.5
152,1989,45 - 64 years,Female,Immigrants: All origins,1.4
153,1989,65 years and over,Both sexes,Net migration,
154,1989,65 years and over,Both sexes,Emigrants: All destinations,0.0
155,1989,65 years and over,Both sexes,Immigrants: All origins,1.8
156,1989,65 years and over,Male,Net migration,
157,1989,65 years and over,Male,Emigrants: All destinations,0.0
158,1989,65 years and over,Male,Immigrants: All origins,1.0
159,1989,65 years and over,Female,Net migration,
160,1989,65 years and over,Female,Emigrants: All destinations,0.0
161,1989,65 years and over,Female,Immigrants: All origins,0.9
162,1990,All ages,Both sexes,Net migration,-22.9
163,1990,All ages,Both sexes,Emigrants: All destinations,56.3
164,1990,All ages,Both sexes,Immigrants: All origins,33.3
165,1990,All ages,Male,Net migration,
166,1990,All ages,Male,Emigrants: All destinations,
167,1990,All ages,Male,Immigrants: All origins,
168,1990,All ages,Female,Net migration,
169,1990,All ages,Female,Emigrants: All destinations,
170,1990,All ages,Female,Immigrants: All origins,
171,1990,0 - 14 years,Both sexes,Net migration,
172,1990,0 - 14 years,Both sexes,Emigrants: All destinations,6.7
173,1990,0 - 14 years,Both sexes,Immigrants: All origins,5.2
174,1990,0 - 14 years,Male,Net migration,
175,1990,0 - 14 years,Male,Emigrants: All destinations,3.6
176,1990,0 - 14 years,Male,Immigrants: All origins,2.7
177,1990,0 - 14 years,Female,Net migration,
178,1990,0 - 14 years,Female,Emigrants: All destinations,3.1
179,1990,0 - 14 years,Female,Immigrants: All origins,2.5
180,1990,15 - 24 years,Both sexes,Net migration,
181,1990,15 - 24 years,Both sexes,Emigrants: All destinations,30.8
182,1990,15 - 24 years,Both sexes,Immigrants: All origins,10.1
183,1990,15 - 24 years,Male,Net migration,
184,1990,15 - 24 years,Male,Emigrants: All destinations,14.3
185,1990,15 - 24 years,Male,Immigrants: All origins,4.7
186,1990,15 - 24 years,Female,Net migration,
187,1990,15 - 24 years,Female,Emigrants: All destinations,16.5
188,1990,15 - 24 years,Female,Immigrants: All origins,5.4
189,1990,25 - 44 years,Both sexes,Net migration,
190,1990,25 - 44 years,Both sexes,Emigrants: All destinations,16.9
191,1990,25 - 44 years,Both sexes,Immigrants: All origins,14.0
192,1990,25 - 44 years,Male,Net migration,
193,1990,25 - 44 years,Male,Emigrants: All destinations,9.7
194,1990,25 - 44 years,Male,Immigrants: All origins,8.0
195,1990,25 - 44 years,Female,Net migration,
196,1990,25 - 44 years,Female,Emigrants: All destinations,7.2
197,1990,25 - 44 years,Female,Immigrants: All origins,5.9
198,1990,45 - 64 years,Both sexes,Net migration,
199,1990,45 - 64 years,Both sexes,Emigrants: All destinations,1.9
200,1990,45 - 64 years,Both sexes,Immigrants: All origins,2.7
201,1990,45 - 64 years,Male,Net migration,
202,1990,45 - 64 years,Male,Emigrants: All destinations,1.0
203,1990,45 - 64 years,Male,Immigrants: All origins,1.5
204,1990,45 - 64 years,Female,Net migration,
205,1990,45 - 64 years,Female,Emigrants: All destinations,0.9
206,1990,45 - 64 years,Female,Immigrants: All origins,1.2
207,1990,65 years and over,Both sexes,Net migration,
208,1990,65 years and over,Both sexes,Emigrants: All destinations,0.0
209,1990,65 years and over,Both sexes,Immigrants: All origins,1.4
210,1990,65 years and over,Male,Net migration,
211,1990,65 years and over,Male,Emigrants: All destinations,0.0
212,1990,65 years and over,Male,Immigrants: All origins,0.8
213,1990,65 years and over,Female,Net migration,
214,1990,65 years and over,Female,Emigrants: All destinations,0.0
215,1990,65 years and over,Female,Immigrants: All origins,0.5
216,1991,All ages,Both sexes,Net migration,-2.0
217,1991,All ages,Both sexes,Emigrants: All destinations,35.3
218,1991,All ages,Both sexes,Immigrants: All origins,33.3
219,1991,All ages,Male,Net migration,
220,1991,All ages,Male,Emigrants: All destinations,
221,1991,All ages,Male,Immigrants: All origins,
222,1991,All ages,Female,Net migration,
223,1991,All ages,Female,Emigrants: All destinations,
224,1991,All ages,Female,Immigrants: All origins,
225,1991,0 - 14 years,Both sexes,Net migration,
226,1991,0 - 14 years,Both sexes,Emigrants: All destinations,4.6
227,1991,0 - 14 years,Both sexes,Immigrants: All origins,5.2
228,1991,0 - 14 years,Male,Net migration,
229,1991,0 - 14 years,Male,Emigrants: All destinations,2.3
230,1991,0 - 14 years,Male,Immigrants: All origins,2.7
231,1991,0 - 14 years,Female,Net migration,
232,1991,0 - 14 years,Female,Emigrants: All destinations,2.3
233,1991,0 - 14 years,Female,Immigrants: All origins,2.6
234,1991,15 - 24 years,Both sexes,Net migration,
235,1991,15 - 24 years,Both sexes,Emigrants: All destinations,19.9
236,1991,15 - 24 years,Both sexes,Immigrants: All origins,9.3
237,1991,15 - 24 years,Male,Net migration,
238,1991,15 - 24 years,Male,Emigrants: All destinations,9.5
239,1991,15 - 24 years,Male,Immigrants: All origins,4.5
240,1991,15 - 24 years,Female,Net migration,
241,1991,15 - 24 years,Female,Emigrants: All destinations,10.4
242,1991,15 - 24 years,Female,Immigrants: All origins,4.8
243,1991,25 - 44 years,Both sexes,Net migration,
244,1991,25 - 44 years,Both sexes,Emigrants: All destinations,10.5
245,1991,25 - 44 years,Both sexes,Immigrants: All origins,14.6
246,1991,25 - 44 years,Male,Net migration,
247,1991,25 - 44 years,Male,Emigrants: All destinations,5.8
248,1991,25 - 44 years,Male,Immigrants: All origins,8.0
249,1991,25 - 44 years,Female,Net migration,
250,1991,25 - 44 years,Female,Emigrants: All destinations,4.7
251,1991,25 - 44 years,Female,Immigrants: All origins,6.5
252,1991,45 - 64 years,Both sexes,Net migration,
253,1991,45 - 64 years,Both sexes,Emigrants: All destinations,0.4
254,1991,45 - 64 years,Both sexes,Immigrants: All origins,2.5
255,1991,45 - 64 years,Male,Net migration,
256,1991,45 - 64 years,Male,Emigrants: All destinations,0.1
257,1991,45 - 64 years,Male,Immigrants: All origins,1.4
258,1991,45 - 64 years,Female,Net migration,
259,1991,45 - 64 years,Female,Emigrants: All destinations,0.3
260,1991,45 - 64 years,Female,Immigrants: All origins,1.1
261,1991,65 years and over,Both sexes,Net migration,
262,1991,65 years and over,Both sexes,Emigrants: All destinations,0.0
263,1991,65 years and over,Both sexes,Immigrants: All origins,1.7
264,1991,65 years and over,Male,Net migration,
265,1991,65 years and over,Male,Emigrants: All destinations,0.0
266,1991,65 years and over,Male,Immigrants: All origins,0.9
267,1991,65 years and over,Female,Net migration,
268,1991,65 years and over,Female,Emigrants: All destinations,0.0
269,1991,65 years and over,Female,Immigrants: All origins,0.8
270,1992,All ages,Both sexes,Net migration,7.4
271,1992,All ages,Both sexes,Emigrants: All destinations,33.4
272,1992,All ages,Both sexes,Immigrants: All origins,40.7
273,1992,All ages,Male,Net migration,
274,1992,All ages,Male,Emigrants: All destinations,
275,1992,All ages,Male,Immigrants: All origins,
276,1992,All ages,Female,Net migration,
277,1992,All ages,Female,Emigrants: All destinations,
278,1992,All ages,Female,Immigrants: All origins,
279,1992,0 - 14 years,Both sexes,Net migration,
280,1992,0 - 14 years,Both sexes,Emigrants: All destinations,0.7
281,1992,0 - 14 years,Both sexes,Immigrants: All origins,6.2
282,1992,0 - 14 years,Male,Net migration,
283,1992,0 - 14 years,Male,Emigrants: All destinations,0.3
284,1992,0 - 14 years,Male,Immigrants: All origins,3.4
285,1992,0 - 14 years,Female,Net migration,
286,1992,0 - 14 years,Female,Emigrants: All destinations,0.4
287,1992,0 - 14 years,Female,Immigrants: All origins,2.8
288,1992,15 - 24 years,Both sexes,Net migration,
289,1992,15 - 24 years,Both sexes,Emigrants: All destinations,22.5
290,1992,15 - 24 years,Both sexes,Immigrants: All origins,12.5
291,1992,15 - 24 years,Male,Net migration,
292,1992,15 - 24 years,Male,Emigrants: All destinations,10.8
293,1992,15 - 24 years,Male,Immigrants: All origins,6.0
294,1992,15 - 24 years,Female,Net migration,
295,1992,15 - 24 years,Female,Emigrants: All destinations,11.7
296,1992,15 - 24 years,Female,Immigrants: All origins,6.5
297,1992,25 - 44 years,Both sexes,Net migration,
298,1992,25 - 44 years,Both sexes,Emigrants: All destinations,8.8
299,1992,25 - 44 years,Both sexes,Immigrants: All origins,16.5
300,1992,25 - 44 years,Male,Net migration,
301,1992,25 - 44 years,Male,Emigrants: All destinations,5.8
302,1992,25 - 44 years,Male,Immigrants: All origins,9.3
303,1992,25 - 44 years,Female,Net migration,
304,1992,25 - 44 years,Female,Emigrants: All destinations,3.0
305,1992,25 - 44 years,Female,Immigrants: All origins,7.2
306,1992,45 - 64 years,Both sexes,Net migration,
307,1992,45 - 64 years,Both sexes,Emigrants: All destinations,1.2
308,1992,45 - 64 years,Both sexes,Immigrants: All origins,4.1
309,1992,45 - 64 years,Male,Net migration,
310,1992,45 - 64 years,Male,Emigrants: All destinations,0.5
311,1992,45 - 64 years,Male,Immigrants: All origins,2.4
312,1992,45 - 64 years,Female,Net migration,
313,1992,45 - 64 years,Female,Emigrants: All destinations,0.7
314,1992,45 - 64 years,Female,Immigrants: All origins,1.7
315,1992,65 years and over,Both sexes,Net migration,
316,1992,65 years and over,Both sexes,Emigrants: All destinations,0.2
317,1992,65 years and over,Both sexes,Immigrants: All origins,1.4
318,1992,65 years and over,Male,Net migration,
319,1992,65 years and over,Male,Emigrants: All destinations,0.0
320,1992,65 years and over,Male,Immigrants: All origins,0.8
321,1992,65 years and over,Female,Net migration,
322,1992,65 years and over,Female,Emigrants: All destinations,0.2
323,1992,65 years and over,Female,Immigrants: All origins,0.6
324,1993,All ages,Both sexes,Net migration,-0.4
325,1993,All ages,Both sexes,Emigrants: All destinations,35.1
326,1993,All ages,Both sexes,Immigrants: All origins,34.7
327,1993,All ages,Male,Net migration,
328,1993,All ages,Male,Emigrants: All destinations,
329,1993,All ages,Male,Immigrants: All origins,
330,1993,All ages,Female,Net migration,
331,1993,All ages,Female,Emigrants: All destinations,
332,1993,All ages,Female,Immigrants: All origins,
333,1993,0 - 14 years,Both sexes,Net migration,
334,1993,0 - 14 years,Both sexes,Emigrants: All destinations,1.1
335,1993,0 - 14 years,Both sexes,Immigrants: All origins,5.6
336,1993,0 - 14 years,Male,Net migration,
337,1993,0 - 14 years,Male,Emigrants: All destinations,0.6
338,1993,0 - 14 years,Male,Immigrants: All origins,2.9
339,1993,0 - 14 years,Female,Net migration,
340,1993,0 - 14 years,Female,Emigrants: All destinations,0.5
341,1993,0 - 14 years,Female,Immigrants: All origins,2.6
342,1993,15 - 24 years,Both sexes,Net migration,
343,1993,15 - 24 years,Both sexes,Emigrants: All destinations,23.6
344,1993,15 - 24 years,Both sexes,Immigrants: All origins,10.3
345,1993,15 - 24 years,Male,Net migration,
346,1993,15 - 24 years,Male,Emigrants: All destinations,10.9
347,1993,15 - 24 years,Male,Immigrants: All origins,4.2
348,1993,15 - 24 years,Female,Net migration,
349,1993,15 - 24 years,Female,Emigrants: All destinations,12.7
350,1993,15 - 24 years,Female,Immigrants: All origins,6.0
351,1993,25 - 44 years,Both sexes,Net migration,
352,1993,25 - 44 years,Both sexes,Emigrants: All destinations,9.1
353,1993,25 - 44 years,Both sexes,Immigrants: All origins,14.5
354,1993,25 - 44 years,Male,Net migration,
355,1993,25 - 44 years,Male,Emigrants: All destinations,5.7
356,1993,25 - 44 years,Male,Immigrants: All origins,7.8
357,1993,25 - 44 years,Female,Net migration,
358,1993,25 - 44 years,Female,Emigrants: All destinations,3.4
359,1993,25 - 44 years,Female,Immigrants: All origins,6.6
360,1993,45 - 64 years,Both sexes,Net migration,
361,1993,45 - 64 years,Both sexes,Emigrants: All destinations,1.2
362,1993,45 - 64 years,Both sexes,Immigrants: All origins,3.6
363,1993,45 - 64 years,Male,Net migration,
364,1993,45 - 64 years,Male,Emigrants: All destinations,0.4
365,1993,45 - 64 years,Male,Immigrants: All origins,2.0
366,1993,45 - 64 years,Female,Net migration,
367,1993,45 - 64 years,Female,Emigrants: All destinations,0.8
368,1993,45 - 64 years,Female,Immigrants: All origins,1.6
369,1993,65 years and over,Both sexes,Net migration,
370,1993,65 years and over,Both sexes,Emigrants: All destinations,0.2
371,1993,65 years and over,Both sexes,Immigrants: All origins,0.8
372,1993,65 years and over,Male,Net migration,
373,1993,65 years and over,Male,Emigrants: All destinations,0.1
374,1993,65 years and over,Male,Immigrants: All origins,0.5
375,1993,65 years and over,Female,Net migration,
376,1993,65 years and over,Female,Emigrants: All destinations,0.1
377,1993,65 years and over,Female,Immigrants: All origins,0.4
378,1994,All ages,Both sexes,Net migration,-4.7
379,1994,All ages,Both sexes,Emigrants: All destinations,34.8
380,1994,All ages,Both sexes,Immigrants: All origins,30.1
381,1994,All ages,Male,Net migration,
382,1994,All ages,Male,Emigrants: All destinations,
383,1994,All ages,Male,Immigrants: All origins,
384,1994,All ages,Female,Net migration,
385,1994,All ages,Female,Emigrants: All destinations,
386,1994,All ages,Female,Immigrants: All origins,
387,1994,0 - 14 years,Both sexes,Net migration,
388,1994,0 - 14 years,Both sexes,Emigrants: All destinations,1.4
389,1994,0 - 14 years,Both sexes,Immigrants: All origins,4.4
390,1994,0 - 14 years,Male,Net migration,
391,1994,0 - 14 years,Male,Emigrants: All destinations,0.6
392,1994,0 - 14 years,Male,Immigrants: All origins,2.4
393,1994,0 - 14 years,Female,Net migration,
394,1994,0 - 14 years,Female,Emigrants: All destinations,0.7
395,1994,0 - 14 years,Female,Immigrants: All origins,2.0
396,1994,15 - 24 years,Both sexes,Net migration,
397,1994,15 - 24 years,Both sexes,Emigrants: All destinations,24.6
398,1994,15 - 24 years,Both sexes,Immigrants: All origins,9.7
399,1994,15 - 24 years,Male,Net migration,
400,1994,15 - 24 years,Male,Emigrants: All destinations,11.6
401,1994,15 - 24 years,Male,Immigrants: All origins,4.0
402,1994,15 - 24 years,Female,Net migration,
403,1994,15 - 24 years,Female,Emigrants: All destinations,13.0
404,1994,15 - 24 years,Female,Immigrants: All origins,5.7
405,1994,25 - 44 years,Both sexes,Net migration,
406,1994,25 - 44 years,Both sexes,Emigrants: All destinations,8.2
407,1994,25 - 44 years,Both sexes,Immigrants: All origins,12.1
408,1994,25 - 44 years,Male,Net migration,
409,1994,25 - 44 years,Male,Emigrants: All destinations,5.3
410,1994,25 - 44 years,Male,Immigrants: All origins,6.3
411,1994,25 - 44 years,Female,Net migration,
412,1994,25 - 44 years,Female,Emigrants: All destinations,2.9
413,1994,25 - 44 years,Female,Immigrants: All origins,5.8
414,1994,45 - 64 years,Both sexes,Net migration,
415,1994,45 - 64 years,Both sexes,Emigrants: All destinations,0.6
416,1994,45 - 64 years,Both sexes,Immigrants: All origins,3.1
417,1994,45 - 64 years,Male,Net migration,
418,1994,45 - 64 years,Male,Emigrants: All destinations,0.0
419,1994,45 - 64 years,Male,Immigrants: All origins,1.6
420,1994,45 - 64 years,Female,Net migration,
421,1994,45 - 64 years,Female,Emigrants: All destinations,0.6
422,1994,45 - 64 years,Female,Immigrants: All origins,1.4
423,1994,65 years and over,Both sexes,Net migration,
424,1994,65 years and over,Both sexes,Emigrants: All destinations,0.0
425,1994,65 years and over,Both sexes,Immigrants: All origins,0.9
426,1994,65 years and over,Male,Net migration,
427,1994,65 years and over,Male,Emigrants: All destinations,0.0
428,1994,65 years and over,Male,Immigrants: All origins,0.4
429,1994,65 years and over,Female,Net migration,
430,1994,65 years and over,Female,Emigrants: All destinations,0.0
431,1994,65 years and over,Female,Immigrants: All origins,0.4
432,1995,All ages,Both sexes,Net migration,-1.9
433,1995,All ages,Both sexes,Emigrants: All destinations,33.1
434,1995,All ages,Both sexes,Immigrants: All origins,31.2
435,1995,All ages,Male,Net migration,
436,1995,All ages,Male,Emigrants: All destinations,
437,1995,All ages,Male,Immigrants: All origins,
438,1995,All ages,Female,Net migration,
439,1995,All ages,Female,Emigrants: All destinations,
440,1995,All ages,Female,Immigrants: All origins,
441,1995,0 - 14 years,Both sexes,Net migration,
442,1995,0 - 14 years,Both sexes,Emigrants: All destinations,1.2
443,1995,0 - 14 years,Both sexes,Immigrants: All origins,5.3
444,1995,0 - 14 years,Male,Net migration,
445,1995,0 - 14 years,Male,Emigrants: All destinations,0.6
446,1995,0 - 14 years,Male,Immigrants: All origins,2.6
447,1995,0 - 14 years,Female,Net migration,
448,1995,0 - 14 years,Female,Emigrants: All destinations,0.6
449,1995,0 - 14 years,Female,Immigrants: All origins,2.7
450,1995,15 - 24 years,Both sexes,Net migration,
451,1995,15 - 24 years,Both sexes,Emigrants: All destinations,22.6
452,1995,15 - 24 years,Both sexes,Immigrants: All origins,8.0
453,1995,15 - 24 years,Male,Net migration,
454,1995,15 - 24 years,Male,Emigrants: All destinations,11.8
455,1995,15 - 24 years,Male,Immigrants: All origins,3.2
456,1995,15 - 24 years,Female,Net migration,
457,1995,15 - 24 years,Female,Emigrants: All destinations,10.8
458,1995,15 - 24 years,Female,Immigrants: All origins,4.8
459,1995,25 - 44 years,Both sexes,Net migration,
460,1995,25 - 44 years,Both sexes,Emigrants: All destinations,8.5
461,1995,25 - 44 years,Both sexes,Immigrants: All origins,14.6
462,1995,25 - 44 years,Male,Net migration,
463,1995,25 - 44 years,Male,Emigrants: All destinations,5.5
464,1995,25 - 44 years,Male,Immigrants: All origins,7.5
465,1995,25 - 44 years,Female,Net migration,
466,1995,25 - 44 years,Female,Emigrants: All destinations,2.9
467,1995,25 - 44 years,Female,Immigrants: All origins,7.1
468,1995,45 - 64 years,Both sexes,Net migration,
469,1995,45 - 64 years,Both sexes,Emigrants: All destinations,0.8
470,1995,45 - 64 years,Both sexes,Immigrants: All origins,2.6
471,1995,45 - 64 years,Male,Net migration,
472,1995,45 - 64 years,Male,Emigrants: All destinations,0.3
473,1995,45 - 64 years,Male,Immigrants: All origins,1.3
474,1995,45 - 64 years,Female,Net migration,
475,1995,45 - 64 years,Female,Emigrants: All destinations,0.5
476,1995,45 - 64 years,Female,Immigrants: All origins,1.3
477,1995,65 years and over,Both sexes,Net migration,
478,1995,65 years and over,Both sexes,Emigrants: All destinations,0.0
479,1995,65 years and over,Both sexes,Immigrants: All origins,0.7
480,1995,65 years and over,Male,Net migration,
481,1995,65 years and over,Male,Emigrants: All destinations,0.0
482,1995,65 years and over,Male,Immigrants: All origins,0.2
483,1995,65 years and over,Female,Net migration,
484,1995,65 years and over,Female,Emigrants: All destinations,0.0
485,1995,65 years and over,Female,Immigrants: All origins,0.5
486,1996,All ages,Both sexes,Net migration,8.0
487,1996,All ages,Both sexes,Emigrants: All destinations,31.2
488,1996,All ages,Both sexes,Immigrants: All origins,39.2
489,1996,All ages,Male,Net migration,
490,1996,All ages,Male,Emigrants: All destinations,
491,1996,All ages,Male,Immigrants: All origins,
492,1996,All ages,Female,Net migration,
493,1996,All ages,Female,Emigrants: All destinations,
494,1996,All ages,Female,Immigrants: All origins,
495,1996,0 - 14 years,Both sexes,Net migration,
496,1996,0 - 14 years,Both sexes,Emigrants: All destinations,0.9
497,1996,0 - 14 years,Both sexes,Immigrants: All origins,6.6
498,1996,0 - 14 years,Male,Net migration,
499,1996,0 - 14 years,Male,Emigrants: All destinations,0.4
500,1996,0 - 14 years,Male,Immigrants: All origins,3.1
501,1996,0 - 14 years,Female,Net migration,
502,1996,0 - 14 years,Female,Emigrants: All destinations,0.6
503,1996,0 - 14 years,Female,Immigrants: All origins,3.6
504,1996,15 - 24 years,Both sexes,Net migration,
505,1996,15 - 24 years,Both sexes,Emigrants: All destinations,21.4
506,1996,15 - 24 years,Both sexes,Immigrants: All origins,10.9
507,1996,15 - 24 years,Male,Net migration,
