,year,country,sex,endpoint,value
94,1988,Canada,Male,Emigrants: All destinations,
95,1988,Canada,Male,Immigrants: All origins,
96,1988,Canada,Female,Net migration,
97,1988,Canada,Female,Emigrants: All destinations,
98,1988,Canada,Female,Immigrants: All origins,
99,1988,Australia,Both sexes,Net migration,
100,1988,Australia,Both sexes,Emigrants: All destinations,
101,1988,Australia,Both sexes,Immigrants: All origins,
102,1988,Australia,Male,Net migration,
103,1988,Australia,Male,Emigrants: All destinations,
104,1988,Australia,Male,Immigrants: All origins,
105,1988,Australia,Female,Net migration,
106,1988,Australia,Female,Emigrants: All destinations,
107,1988,Australia,Female,Immigrants: All origins,
108,1988,Other countries (23),Both sexes,Net migration,-6.8
109,1988,Other countries (23),Both sexes,Emigrants: All destinations,10.2
110,1988,Other countries (23),Both sexes,Immigrants: All origins,3.4
111,1988,Other countries (23),Male,Net migration,-3.7
112,1988,Other countries (23),Male,Emigrants: All destinations,5.3
113,1988,Other countries (23),Male,Immigrants: All origins,1.6
114,1988,Other countries (23),Female,Net migration,3.3
115,1988,Other countries (23),Female,Emigrants: All destinations,5.0
116,1988,Other countries (23),Female,Immigrants: All origins,1.7
117,1988,All countries,Both sexes,Net migration,-41.9
118,1988,All countries,Both sexes,Emigrants: All destinations,61.1
119,1988,All countries,Both sexes,Immigrants: All origins,19.2
120,1988,All countries,Male,Net migration,-24.2
121,1988,All countries,Male,Emigrants: All destinations,
122,1988,All countries,Male,Immigrants: All origins,
123,1988,All countries,Female,Net migration,-26.7
124,1988,All countries,Female,Emigrants: All destinations,
125,1988,All countries,Female,Immigrants: All origins,
126,1988,EU14 excl Irl (UK & Ireland),Both sexes,Net migration,-0.2
127,1988,EU14 excl Irl (UK & Ireland),Both sexes,Emigrants: All destinations,2.8
128,1988,EU14 excl Irl (UK & Ireland),Both sexes,Immigrants: All origins,2.6
129,1988,EU14 excl Irl (UK & Ireland),Male,Net migration,-0.3
130,1988,EU14 excl Irl (UK & Ireland),Male,Emigrants: All destinations,1.5
131,1988,EU14 excl Irl (UK & Ireland),Male,Immigrants: All origins,1.2
132,1988,EU14 excl Irl (UK & Ireland),Female,Net migration,-15.3
133,1988,EU14 excl Irl (UK & Ireland),Female,Emigrants: All destinations,1.3
134,1988,EU14 excl Irl (UK & Ireland),Female,Immigrants: All origins,1.4
135,1988,EU15 to EU27 (accession countries joined post 2004),Both sexes,Net migration,
136,1988,EU15 to EU27 (accession countries joined post 2004),Both sexes,Emigrants: All destinations,
137,1988,EU15 to EU27 (accession countries joined post 2004),Both sexes,Immigrants: All origins,
138,1988,EU15 to EU27 (accession countries joined post 2004),Male,Net migration,
139,1988,EU15 to EU27 (accession countries joined post 2004),Male,Emigrants: All destinations,
140,1988,EU15 to EU27 (accession countries joined post 2004),Male,Immigrants: All origins,
141,1988,EU15 to EU27 (accession countries joined post 2004),Female,Net migration,
142,1988,EU15 to EU27 (accession countries joined post 2004),Female,Emigrants: All destinations,
143,1988,EU15 to EU27 (accession countries joined post 2004),Female,Immigrants: All origins,
144,1989,United Kingdom (1),Both sexes,Net migration,-34.2
145,1989,United Kingdom (1),Both sexes,Emigrants: All destinations,48.4
146,1989,United Kingdom (1),Both sexes,Immigrants: All origins,14.2
147,1989,United Kingdom (1),Male,Net migration,-21.1
148,1989,United Kingdom (1),Male,Emigrants: All destinations,28.5
149,1989,United Kingdom (1),Male,Immigrants: All origins,7.4
150,1989,United Kingdom (1),Female,Net migration,-13.2
151,1989,United Kingdom (1),Female,Emigrants: All destinations,19.9
152,1989,United Kingdom (1),Female,Immigrants: All origins,6.7
153,1989,United States,Both sexes,Net migration,-5.4
154,1989,United States,Both sexes,Emigrants: All destinations,8.2
155,1989,United States,Both sexes,Immigrants: All origins,3.1
156,1989,United States,Male,Net migration,-2.7
157,1989,United States,Male,Emigrants: All destinations,4.3
158,1989,United States,Male,Immigrants: All origins,1.6
159,1989,United States,Female,Net migration,-2.5
160,1989,United States,Female,Emigrants: All destinations,3.9
161,1989,United States,Female,Immigrants: All origins,1.4
162,1989,Canada,Both sexes,Net migration,
163,1989,Canada,Both sexes,Emigrants: All destinations,
164,1989,Canada,Both sexes,Immigrants: All origins,
165,1989,Canada,Male,Net migration,
166,1989,Canada,Male,Emigrants: All destinations,
167,1989,Canada,Male,Immigrants: All origins,
168,1989,Canada,Female,Net migration,
169,1989,Canada,Female,Emigrants: All destinations,
170,1989,Canada,Female,Immigrants: All origins,
171,1989,Australia,Both sexes,Net migration,
172,1989,Australia,Both sexes,Emigrants: All destinations,
173,1989,Australia,Both sexes,Immigrants: All origins,
174,1989,Australia,Male,Net migration,
175,1989,Australia,Male,Emigrants: All destinations,
176,1989,Australia,Male,Immigrants: All origins,
177,1989,Australia,Female,Net migration,
178,1989,Australia,Female,Emigrants: All destinations,
179,1989,Australia,Female,Immigrants: All origins,
180,1989,Other countries (23),Both sexes,Net migration,-4.2
181,1989,Other countries (23),Both sexes,Emigrants: All destinations,10.0
182,1989,Other countries (23),Both sexes,Immigrants: All origins,5.8
183,1989,Other countries (23),Male,Net migration,-1.5
184,1989,Other countries (23),Male,Emigrants: All destinations,4.7
185,1989,Other countries (23),Male,Immigrants: All origins,3.2
186,1989,Other countries (23),Female,Net migration,2.6
187,1989,Other countries (23),Female,Emigrants: All destinations,5.3
188,1989,Other countries (23),Female,Immigrants: All origins,2.7
189,1989,All countries,Both sexes,Net migration,-43.9
190,1989,All countries,Both sexes,Emigrants: All destinations,70.6
191,1989,All countries,Both sexes,Immigrants: All origins,26.7
192,1989,All countries,Male,Net migration,-25.6
193,1989,All countries,Male,Emigrants: All destinations,
194,1989,All countries,Male,Immigrants: All origins,
195,1989,All countries,Female,Net migration,-30.8
196,1989,All countries,Female,Emigrants: All destinations,
197,1989,All countries,Female,Immigrants: All origins,
198,1989,EU14 excl Irl (UK & Ireland),Both sexes,Net migration,-0.3
199,1989,EU14 excl Irl (UK & Ireland),Both sexes,Emigrants: All destinations,3.9
200,1989,EU14 excl Irl (UK & Ireland),Both sexes,Immigrants: All origins,3.6
201,1989,EU14 excl Irl (UK & Ireland),Male,Net migration,-0.3
202,1989,EU14 excl Irl (UK & Ireland),Male,Emigrants: All destinations,1.7
203,1989,EU14 excl Irl (UK & Ireland),Male,Immigrants: All origins,1.4
204,1989,EU14 excl Irl (UK & Ireland),Female,Net migration,-17.7
205,1989,EU14 excl Irl (UK & Ireland),Female,Emigrants: All destinations,2.2
206,1989,EU14 excl Irl (UK & Ireland),Female,Immigrants: All origins,2.2
207,1989,EU15 to EU27 (accession countries joined post 2004),Both sexes,Net migration,
208,1989,EU15 to EU27 (accession countries joined post 2004),Both sexes,Emigrants: All destinations,
209,1989,EU15 to EU27 (accession countries joined post 2004),Both sexes,Immigrants: All origins,
210,1989,EU15 to EU27 (accession countries joined post 2004),Male,Net migration,
211,1989,EU15 to EU27 (accession countries joined post 2004),Male,Emigrants: All destinations,
212,1989,EU15 to EU27 (accession countries joined post 2004),Male,Immigrants: All origins,
213,1989,EU15 to EU27 (accession countries joined post 2004),Female,Net migration,
214,1989,EU15 to EU27 (accession countries joined post 2004),Female,Emigrants: All destinations,
215,1989,EU15 to EU27 (accession countries joined post 2004),Female,Immigrants: All origins,
216,1990,United Kingdom (1),Both sexes,Net migration,-18.2
217,1990,United Kingdom (1),Both sexes,Emigrants: All destinations,35.8
218,1990,United Kingdom (1),Both sexes,Immigrants: All origins,17.6
219,1990,United Kingdom (1),Male,Net migration,-8.8
220,1990,United Kingdom (1),Male,Emigrants: All destinations,18.7
221,1990,United Kingdom (1),Male,Immigrants: All origins,9.9
222,1990,United Kingdom (1),Female,Net migration,-9.4
223,1990,United Kingdom (1),Female,Emigrants: All destinations,17.1
224,1990,United Kingdom (1),Female,Immigrants: All origins,7.7
225,1990,United States,Both sexes,Net migration,-3.8
226,1990,United States,Both sexes,Emigrants: All destinations,7.7
227,1990,United States,Both sexes,Immigrants: All origins,3.9
228,1990,United States,Male,Net migration,-2.1
229,1990,United States,Male,Emigrants: All destinations,4.1
230,1990,United States,Male,Immigrants: All origins,2.0
231,1990,United States,Female,Net migration,-1.7
232,1990,United States,Female,Emigrants: All destinations,3.6
233,1990,United States,Female,Immigrants: All origins,1.9
234,1990,Canada,Both sexes,Net migration,
235,1990,Canada,Both sexes,Emigrants: All destinations,
236,1990,Canada,Both sexes,Immigrants: All origins,
237,1990,Canada,Male,Net migration,
238,1990,Canada,Male,Emigrants: All destinations,
239,1990,Canada,Male,Immigrants: All origins,
240,1990,Canada,Female,Net migration,
241,1990,Canada,Female,Emigrants: All destinations,
242,1990,Canada,Female,Immigrants: All origins,
243,1990,Australia,Both sexes,Net migration,
244,1990,Australia,Both sexes,Emigrants: All destinations,
245,1990,Australia,Both sexes,Immigrants: All origins,
246,1990,Australia,Male,Net migration,
247,1990,Australia,Male,Emigrants: All destinations,
248,1990,Australia,Male,Immigrants: All origins,
249,1990,Australia,Female,Net migration,
250,1990,Australia,Female,Emigrants: All destinations,
251,1990,Australia,Female,Immigrants: All origins,
252,1990,Other countries (23),Both sexes,Net migration,-0.7
253,1990,Other countries (23),Both sexes,Emigrants: All destinations,7.6
254,1990,Other countries (23),Both sexes,Immigrants: All origins,6.9
255,1990,Other countries (23),Male,Net migration,0.0
256,1990,Other countries (23),Male,Emigrants: All destinations,3.6
257,1990,Other countries (23),Male,Immigrants: All origins,3.6
258,1990,Other countries (23),Female,Net migration,0.7
259,1990,Other countries (23),Female,Emigrants: All destinations,4.0
260,1990,Other countries (23),Female,Immigrants: All origins,3.3
261,1990,All countries,Both sexes,Net migration,-22.9
262,1990,All countries,Both sexes,Emigrants: All destinations,56.3
263,1990,All countries,Both sexes,Immigrants: All origins,33.3
264,1990,All countries,Male,Net migration,-10.9
265,1990,All countries,Male,Emigrants: All destinations,
266,1990,All countries,Male,Immigrants: All origins,
267,1990,All countries,Female,Net migration,-24.8
268,1990,All countries,Female,Emigrants: All destinations,
269,1990,All countries,Female,Immigrants: All origins,
270,1990,EU14 excl Irl (UK & Ireland),Both sexes,Net migration,-0.1
271,1990,EU14 excl Irl (UK & Ireland),Both sexes,Emigrants: All destinations,5.1
272,1990,EU14 excl Irl (UK & Ireland),Both sexes,Immigrants: All origins,5.0
273,1990,EU14 excl Irl (UK & Ireland),Male,Net migration,0.0
274,1990,EU14 excl Irl (UK & Ireland),Male,Emigrants: All destinations,2.2
275,1990,EU14 excl Irl (UK & Ireland),Male,Immigrants: All origins,2.2
276,1990,EU14 excl Irl (UK & Ireland),Female,Net migration,-14.4
277,1990,EU14 excl Irl (UK & Ireland),Female,Emigrants: All destinations,2.9
278,1990,EU14 excl Irl (UK & Ireland),Female,Immigrants: All origins,2.7
279,1990,EU15 to EU27 (accession countries joined post 2004),Both sexes,Net migration,
280,1990,EU15 to EU27 (accession countries joined post 2004),Both sexes,Emigrants: All destinations,
281,1990,EU15 to EU27 (accession countries joined post 2004),Both sexes,Immigrants: All origins,
282,1990,EU15 to EU27 (accession countries joined post 2004),Male,Net migration,
283,1990,EU15 to EU27 (accession countries joined post 2004),Male,Emigrants: All destinations,
284,1990,EU15 to EU27 (accession countries joined post 2004),Male,Immigrants: All origins,
285,1990,EU15 to EU27 (accession countries joined post 2004),Female,Net migration,
286,1990,EU15 to EU27 (accession countries joined post 2004),Female,Emigrants: All destinations,
287,1990,EU15 to EU27 (accession countries joined post 2004),Female,Immigrants: All origins,
288,1991,United Kingdom (1),Both sexes,Net migration,-4.3
289,1991,United Kingdom (1),Both sexes,Emigrants: All destinations,23.0
290,1991,United Kingdom (1),Both sexes,Immigrants: All origins,18.7
291,1991,United Kingdom (1),Male,Net migration,-1.6
292,1991,United Kingdom (1),Male,Emigrants: All destinations,12.2
293,1991,United Kingdom (1),Male,Immigrants: All origins,10.6
294,1991,United Kingdom (1),Female,Net migration,-2.7
295,1991,United Kingdom (1),Female,Emigrants: All destinations,10.8
296,1991,United Kingdom (1),Female,Immigrants: All origins,8.1
297,1991,United States,Both sexes,Net migration,-0.5
298,1991,United States,Both sexes,Emigrants: All destinations,4.8
299,1991,United States,Both sexes,Immigrants: All origins,4.3
300,1991,United States,Male,Net migration,-0.1
301,1991,United States,Male,Emigrants: All destinations,2.3
302,1991,United States,Male,Immigrants: All origins,2.2
303,1991,United States,Female,Net migration,-0.4
304,1991,United States,Female,Emigrants: All destinations,2.5
305,1991,United States,Female,Immigrants: All origins,2.1
306,1991,Canada,Both sexes,Net migration,
307,1991,Canada,Both sexes,Emigrants: All destinations,
308,1991,Canada,Both sexes,Immigrants: All origins,
309,1991,Canada,Male,Net migration,
310,1991,Canada,Male,Emigrants: All destinations,
311,1991,Canada,Male,Immigrants: All origins,
312,1991,Canada,Female,Net migration,
313,1991,Canada,Female,Emigrants: All destinations,
314,1991,Canada,Female,Immigrants: All origins,
315,1991,Australia,Both sexes,Net migration,
316,1991,Australia,Both sexes,Emigrants: All destinations,
317,1991,Australia,Both sexes,Immigrants: All origins,
318,1991,Australia,Male,Net migration,
319,1991,Australia,Male,Emigrants: All destinations,
320,1991,Australia,Male,Immigrants: All origins,
321,1991,Australia,Female,Net migration,
322,1991,Australia,Female,Emigrants: All destinations,
323,1991,Australia,Female,Immigrants: All origins,
324,1991,Other countries (23),Both sexes,Net migration,1.7
325,1991,Other countries (23),Both sexes,Emigrants: All destinations,4.4
326,1991,Other countries (23),Both sexes,Immigrants: All origins,6.1
327,1991,Other countries (23),Male,Net migration,1.1
328,1991,Other countries (23),Male,Emigrants: All destinations,1.8
329,1991,Other countries (23),Male,Immigrants: All origins,2.9
330,1991,Other countries (23),Female,Net migration,-0.5
331,1991,Other countries (23),Female,Emigrants: All destinations,2.7
332,1991,Other countries (23),Female,Immigrants: All origins,3.2
333,1991,All countries,Both sexes,Net migration,-2.0
334,1991,All countries,Both sexes,Emigrants: All destinations,35.3
335,1991,All countries,Both sexes,Immigrants: All origins,33.3
336,1991,All countries,Male,Net migration,-0.1
337,1991,All countries,Male,Emigrants: All destinations,
338,1991,All countries,Male,Immigrants: All origins,
339,1991,All countries,Female,Net migration,-12.1
340,1991,All countries,Female,Emigrants: All destinations,
341,1991,All countries,Female,Immigrants: All origins,
342,1991,EU14 excl Irl (UK & Ireland),Both sexes,Net migration,1.1
343,1991,EU14 excl Irl (UK & Ireland),Both sexes,Emigrants: All destinations,3.1
344,1991,EU14 excl Irl (UK & Ireland),Both sexes,Immigrants: All origins,4.2
345,1991,EU14 excl Irl (UK & Ireland),Male,Net migration,0.5
346,1991,EU14 excl Irl (UK & Ireland),Male,Emigrants: All destinations,1.4
347,1991,EU14 excl Irl (UK & Ireland),Male,Immigrants: All origins,1.9
348,1991,EU14 excl Irl (UK & Ireland),Female,Net migration,-8.5
349,1991,EU14 excl Irl (UK & Ireland),Female,Emigrants: All destinations,1.7
350,1991,EU14 excl Irl (UK & Ireland),Female,Immigrants: All origins,2.3
351,1991,EU15 to EU27 (accession countries joined post 2004),Both sexes,Net migration,
352,1991,EU15 to EU27 (accession countries joined post 2004),Both sexes,Emigrants: All destinations,
353,1991,EU15 to EU27 (accession countries joined post 2004),Both sexes,Immigrants: All origins,
354,1991,EU15 to EU27 (accession countries joined post 2004),Male,Net migration,
355,1991,EU15 to EU27 (accession countries joined post 2004),Male,Emigrants: All destinations,
356,1991,EU15 to EU27 (accession countries joined post 2004),Male,Immigrants: All origins,
357,1991,EU15 to EU27 (accession countries joined post 2004),Female,Net migration,
358,1991,EU15 to EU27 (accession countries joined post 2004),Female,Emigrants: All destinations,
359,1991,EU15 to EU27 (accession countries joined post 2004),Female,Immigrants: All origins,
360,1992,United Kingdom (1),Both sexes,Net migration,5.8
361,1992,United Kingdom (1),Both sexes,Emigrants: All destinations,16.9
362,1992,United Kingdom (1),Both sexes,Immigrants: All origins,22.7
363,1992,United Kingdom (1),Male,Net migration,3.6
364,1992,United Kingdom (1),Male,Emigrants: All destinations,9.4
365,1992,United Kingdom (1),Male,Immigrants: All origins,13.0
366,1992,United Kingdom (1),Female,Net migration,2.2
367,1992,United Kingdom (1),Female,Emigrants: All destinations,7.5
368,1992,United Kingdom (1),Female,Immigrants: All origins,9.7
369,1992,United States,Both sexes,Net migration,1.1
370,1992,United States,Both sexes,Emigrants: All destinations,3.5
371,1992,United States,Both sexes,Immigrants: All origins,4.6
372,1992,United States,Male,Net migration,0.1
373,1992,United States,Male,Emigrants: All destinations,2.0
374,1992,United States,Male,Immigrants: All origins,2.1
375,1992,United States,Female,Net migration,1.0
376,1992,United States,Female,Emigrants: All destinations,1.5
377,1992,United States,Female,Immigrants: All origins,2.5
378,1992,Canada,Both sexes,Net migration,
379,1992,Canada,Both sexes,Emigrants: All destinations,
380,1992,Canada,Both sexes,Immigrants: All origins,
381,1992,Canada,Male,Net migration,
382,1992,Canada,Male,Emigrants: All destinations,
383,1992,Canada,Male,Immigrants: All origins,
384,1992,Canada,Female,Net migration,
385,1992,Canada,Female,Emigrants: All destinations,
386,1992,Canada,Female,Immigrants: All origins,
387,1992,Australia,Both sexes,Net migration,
388,1992,Australia,Both sexes,Emigrants: All destinations,
389,1992,Australia,Both sexes,Immigrants: All origins,
390,1992,Australia,Male,Net migration,
391,1992,Australia,Male,Emigrants: All destinations,
392,1992,Australia,Male,Immigrants: All origins,
393,1992,Australia,Female,Net migration,
394,1992,Australia,Female,Emigrants: All destinations,
395,1992,Australia,Female,Immigrants: All origins,
396,1992,Other countries (23),Both sexes,Net migration,1.4
397,1992,Other countries (23),Both sexes,Emigrants: All destinations,5.5
398,1992,Other countries (23),Both sexes,Immigrants: All origins,6.9
399,1992,Other countries (23),Male,Net migration,1.0
400,1992,Other countries (23),Male,Emigrants: All destinations,2.4
401,1992,Other countries (23),Male,Immigrants: All origins,3.4
402,1992,Other countries (23),Female,Net migration,-0.4
403,1992,Other countries (23),Female,Emigrants: All destinations,3.1
404,1992,Other countries (23),Female,Immigrants: All origins,3.5
405,1992,All countries,Both sexes,Net migration,7.4
406,1992,All countries,Both sexes,Emigrants: All destinations,33.4
407,1992,All countries,Both sexes,Immigrants: All origins,40.7
408,1992,All countries,Male,Net migration,4.4
409,1992,All countries,Male,Emigrants: All destinations,17.3
410,1992,All countries,Male,Immigrants: All origins,21.8
411,1992,All countries,Female,Net migration,2.9
412,1992,All countries,Female,Emigrants: All destinations,16.0
413,1992,All countries,Female,Immigrants: All origins,18.9
414,1992,EU14 excl Irl (UK & Ireland),Both sexes,Net migration,-1.0
415,1992,EU14 excl Irl (UK & Ireland),Both sexes,Emigrants: All destinations,7.5
416,1992,EU14 excl Irl (UK & Ireland),Both sexes,Immigrants: All origins,6.5
417,1992,EU14 excl Irl (UK & Ireland),Male,Net migration,-0.1
418,1992,EU14 excl Irl (UK & Ireland),Male,Emigrants: All destinations,3.5
419,1992,EU14 excl Irl (UK & Ireland),Male,Immigrants: All origins,3.4
420,1992,EU14 excl Irl (UK & Ireland),Female,Net migration,-4.3
421,1992,EU14 excl Irl (UK & Ireland),Female,Emigrants: All destinations,4.0
422,1992,EU14 excl Irl (UK & Ireland),Female,Immigrants: All origins,3.2
423,1992,EU15 to EU27 (accession countries joined post 2004),Both sexes,Net migration,
424,1992,EU15 to EU27 (accession countries joined post 2004),Both sexes,Emigrants: All destinations,
425,1992,EU15 to EU27 (accession countries joined post 2004),Both sexes,Immigrants: All origins,
426,1992,EU15 to EU27 (accession countries joined post 2004),Male,Net migration,
427,1992,EU15 to EU27 (accession countries joined post 2004),Male,Emigrants: All destinations,
428,1992,EU15 to EU27 (accession countries joined post 2004),Male,Immigrants: All origins,
429,1992,EU15 to EU27 (accession countries joined post 2004),Female,Net migration,
430,1992,EU15 to EU27 (accession countries joined post 2004),Female,Emigrants: All destinations,
431,1992,EU15 to EU27 (accession countries joined post 2004),Female,Immigrants: All origins,
432,1993,United Kingdom (1),Both sexes,Net migration,1.1
433,1993,United Kingdom (1),Both sexes,Emigrants: All destinations,16.4
434,1993,United Kingdom (1),Both sexes,Immigrants: All origins,17.5
435,1993,United Kingdom (1),Male,Net migration,0.8
436,1993,United Kingdom (1),Male,Emigrants: All destinations,8.2
437,1993,United Kingdom (1),Male,Immigrants: All origins,9.0
438,1993,United Kingdom (1),Female,Net migration,0.2
439,1993,United Kingdom (1),Female,Emigrants: All destinations,8.2
440,1993,United Kingdom (1),Female,Immigrants: All origins,8.4
441,1993,United States,Both sexes,Net migration,-0.6
442,1993,United States,Both sexes,Emigrants: All destinations,5.6
443,1993,United States,Both sexes,Immigrants: All origins,5.0
444,1993,United States,Male,Net migration,-0.6
445,1993,United States,Male,Emigrants: All destinations,3.1
446,1993,United States,Male,Immigrants: All origins,2.5
447,1993,United States,Female,Net migration,0.0
448,1993,United States,Female,Emigrants: All destinations,2.5
449,1993,United States,Female,Immigrants: All origins,2.5
450,1993,Canada,Both sexes,Net migration,
451,1993,Canada,Both sexes,Emigrants: All destinations,
452,1993,Canada,Both sexes,Immigrants: All origins,
453,1993,Canada,Male,Net migration,
454,1993,Canada,Male,Emigrants: All destinations,
455,1993,Canada,Male,Immigrants: All origins,
456,1993,Canada,Female,Net migration,
457,1993,Canada,Female,Emigrants: All destinations,
458,1993,Canada,Female,Immigrants: All origins,
459,1993,Australia,Both sexes,Net migration,
460,1993,Australia,Both sexes,Emigrants: All destinations,
461,1993,Australia,Both sexes,Immigrants: All origins,
462,1993,Australia,Male,Net migration,
463,1993,Australia,Male,Emigrants: All destinations,
464,1993,Australia,Male,Immigrants: All origins,
465,1993,Australia,Female,Net migration,
466,1993,Australia,Female,Emigrants: All destinations,
467,1993,Australia,Female,Immigrants: All origins,
468,1993,Other countries (23),Both sexes,Net migration,-0.1
469,1993,Other countries (23),Both sexes,Emigrants: All destinations,5.8
470,1993,Other countries (23),Both sexes,Immigrants: All origins,5.7
471,1993,Other countries (23),Male,Net migration,0.1
472,1993,Other countries (23),Male,Emigrants: All destinations,3.0
473,1993,Other countries (23),Male,Immigrants: All origins,3.1
474,1993,Other countries (23),Female,Net migration,0.3
475,1993,Other countries (23),Female,Emigrants: All destinations,2.9
476,1993,Other countries (23),Female,Immigrants: All origins,2.6
477,1993,All countries,Both sexes,Net migration,-0.4
478,1993,All countries,Both sexes,Emigrants: All destinations,35.1
479,1993,All countries,Both sexes,Immigrants: All origins,34.7
480,1993,All countries,Male,Net migration,-0.2
481,1993,All countries,Male,Emigrants: All destinations,17.6
