year,age_group,gender,Inward or Outward Flow,kvalue
1988,25 - 44 years,Male,Immigrants: All origins,4.0
1988,25 - 44 years,Female,Net migration,
1988,25 - 44 years,Female,Emigrants: All destinations,7.3
1988,25 - 44 years,Female,Immigrants: All origins,3.2
1988,45 - 64 years,Both sexes,Net migration,
1988,45 - 64 years,Both sexes,Emigrants: All destinations,3.2
1988,45 - 64 years,Both sexes,Immigrants: All origins,2.2
1988,45 - 64 years,Male,Net migration,
1988,45 - 64 years,Male,Emigrants: All destinations,1.6
1988,45 - 64 years,Male,Immigrants: All origins,1.1
1988,45 - 64 years,Female,Net migration,
1988,45 - 64 years,Female,Emigrants: All destinations,1.6
1988,45 - 64 years,Female,Immigrants: All origins,1.0
1988,65 years and over,Both sexes,Net migration,
1988,65 years and over,Both sexes,Emigrants: All destinations,0.0
1988,65 years and over,Both sexes,Immigrants: All origins,1.4
1988,65 years and over,Male,Net migration,
1988,65 years and over,Male,Emigrants: All destinations,0.0
1988,65 years and over,Male,Immigrants: All origins,0.9
1988,65 years and over,Female,Net migration,
1988,65 years and over,Female,Emigrants: All destinations,0.0
1988,65 years and over,Female,Immigrants: All origins,0.5
1989,All ages,Both sexes,Net migration,-43.9
1989,All ages,Both sexes,Emigrants: All destinations,70.6
1989,All ages,Both sexes,Immigrants: All origins,26.7
1989,All ages,Male,Net migration,
1989,All ages,Male,Emigrants: All destinations,
1989,All ages,Male,Immigrants: All origins,
1989,All ages,Female,Net migration,
1989,All ages,Female,Emigrants: All destinations,
1989,All ages,Female,Immigrants: All origins,
1989,0 - 14 years,Both sexes,Net migration,
1989,0 - 14 years,Both sexes,Emigrants: All destinations,7.8
1989,0 - 14 years,Both sexes,Immigrants: All origins,4.4
1989,0 - 14 years,Male,Net migration,
1989,0 - 14 years,Male,Emigrants: All destinations,4.1
1989,0 - 14 years,Male,Immigrants: All origins,2.3
1989,0 - 14 years,Female,Net migration,
1989,0 - 14 years,Female,Emigrants: All destinations,3.7
1989,0 - 14 years,Female,Immigrants: All origins,2.1
1989,15 - 24 years,Both sexes,Net migration,
1989,15 - 24 years,Both sexes,Emigrants: All destinations,37.0
1989,15 - 24 years,Both sexes,Immigrants: All origins,7.7
1989,15 - 24 years,Male,Net migration,
1989,15 - 24 years,Male,Emigrants: All destinations,19.2
1989,15 - 24 years,Male,Immigrants: All origins,3.7
1989,15 - 24 years,Female,Net migration,
1989,15 - 24 years,Female,Emigrants: All destinations,17.8
1989,15 - 24 years,Female,Immigrants: All origins,4.0
1989,25 - 44 years,Both sexes,Net migration,
1989,25 - 44 years,Both sexes,Emigrants: All destinations,21.9
1989,25 - 44 years,Both sexes,Immigrants: All origins,10.6
1989,25 - 44 years,Male,Net migration,
1989,25 - 44 years,Male,Emigrants: All destinations,13.7
1989,25 - 44 years,Male,Immigrants: All origins,5.8
1989,25 - 44 years,Female,Net migration,
1989,25 - 44 years,Female,Emigrants: All destinations,8.2
1989,25 - 44 years,Female,Immigrants: All origins,4.7
1989,45 - 64 years,Both sexes,Net migration,
1989,45 - 64 years,Both sexes,Emigrants: All destinations,3.8
1989,45 - 64 years,Both sexes,Immigrants: All origins,2.2
1989,45 - 64 years,Male,Net migration,
1989,45 - 64 years,Male,Emigrants: All destinations,2.2
1989,45 - 64 years,Male,Immigrants: All origins,0.8
1989,45 - 64 years,Female,Net migration,
1989,45 - 64 years,Female,Emigrants: All destinations,1.5
1989,45 - 64 years,Female,Immigrants: All origins,1.4
1989,65 years and over,Both sexes,Net migration,
1989,65 years and over,Both sexes,Emigrants: All destinations,0.0
1989,65 years and over,Both sexes,Immigrants: All origins,1.8
1989,65 years and over,Male,Net migration,
1989,65 years and over,Male,Emigrants: All destinations,0.0
1989,65 years and over,Male,Immigrants: All origins,1.0
1989,65 years and over,Female,Net migration,
1989,65 years and over,Female,Emigrants: All destinations,0.0
1989,65 years and over,Female,Immigrants: All origins,0.9
1990,All ages,Both sexes,Net migration,-22.9
1990,All ages,Both sexes,Emigrants: All destinations,56.3
1990,All ages,Both sexes,Immigrants: All origins,33.3
1990,All ages,Male,Net migration,
1990,All ages,Male,Emigrants: All destinations,
1990,All ages,Male,Immigrants: All origins,
1990,All ages,Female,Net migration,
1990,All ages,Female,Emigrants: All destinations,
1990,All ages,Female,Immigrants: All origins,
1990,0 - 14 years,Both sexes,Net migration,
1990,0 - 14 years,Both sexes,Emigrants: All destinations,6.7
1990,0 - 14 years,Both sexes,Immigrants: All origins,5.2
1990,0 - 14 years,Male,Net migration,
1990,0 - 14 years,Male,Emigrants: All destinations,3.6
1990,0 - 14 years,Male,Immigrants: All origins,2.7
1990,0 - 14 years,Female,Net migration,
1990,0 - 14 years,Female,Emigrants: All destinations,3.1
1990,0 - 14 years,Female,Immigrants: All origins,2.5
1990,15 - 24 years,Both sexes,Net migration,
1990,15 - 24 years,Both sexes,Emigrants: All destinations,30.8
1990,15 - 24 years,Both sexes,Immigrants: All origins,10.1
1990,15 - 24 years,Male,Net migration,
1990,15 - 24 years,Male,Emigrants: All destinations,14.3
1990,15 - 24 years,Male,Immigrants: All origins,4.7
1990,15 - 24 years,Female,Net migration,
1990,15 - 24 years,Female,Emigrants: All destinations,16.5
1990,15 - 24 years,Female,Immigrants: All origins,5.4
1990,25 - 44 years,Both sexes,Net migration,
1990,25 - 44 years,Both sexes,Emigrants: All destinations,16.9
1990,25 - 44 years,Both sexes,Immigrants: All origins,14.0
1990,25 - 44 years,Male,Net migration,
1990,25 - 44 years,Male,Emigrants: All destinations,9.7
1990,25 - 44 years,Male,Immigrants: All origins,8.0
1990,25 - 44 years,Female,Net migration,
1990,25 - 44 years,Female,Emigrants: All destinations,7.2
1990,25 - 44 years,Female,Immigrants: All origins,5.9
1990,45 - 64 years,Both sexes,Net migration,
1990,45 - 64 years,Both sexes,Emigrants: All destinations,1.9
1990,45 - 64 years,Both sexes,Immigrants: All origins,2.7
1990,45 - 64 years,Male,Net migration,
1990,45 - 64 years,Male,Emigrants: All destinations,1.0
1990,45 - 64 years,Male,Immigrants: All origins,1.5
1990,45 - 64 years,Female,Net migration,
1990,45 - 64 years,Female,Emigrants: All destinations,0.9
1990,45 - 64 years,Female,Immigrants: All origins,1.2
1990,65 years and over,Both sexes,Net migration,
1990,65 years and over,Both sexes,Emigrants: All destinations,0.0
1990,65 years and over,Both sexes,Immigrants: All origins,1.4
1990,65 years and over,Male,Net migration,
1990,65 years and over,Male,Emigrants: All destinations,0.0
1990,65 years and over,Male,Immigrants: All origins,0.8
1990,65 years and over,Female,Net migration,
1990,65 years and over,Female,Emigrants: All destinations,0.0
1990,65 years and over,Female,Immigrants: All origins,0.5
1991,All ages,Both sexes,Net migration,-2.0
1991,All ages,Both sexes,Emigrants: All destinations,35.3
1991,All ages,Both sexes,Immigrants: All origins,33.3
1991,All ages,Male,Net migration,
1991,All ages,Male,Emigrants: All destinations,
1991,All ages,Male,Immigrants: All origins,
1991,All ages,Female,Net migration,
1991,All ages,Female,Emigrants: All destinations,
1991,All ages,Female,Immigrants: All origins,
1991,0 - 14 years,Both sexes,Net migration,
1991,0 - 14 years,Both sexes,Emigrants: All destinations,4.6
1991,0 - 14 years,Both sexes,Immigrants: All origins,5.2
1991,0 - 14 years,Male,Net migration,
1991,0 - 14 years,Male,Emigrants: All destinations,2.3
1991,0 - 14 years,Male,Immigrants: All origins,2.7
1991,0 - 14 years,Female,Net migration,
1991,0 - 14 years,Female,Emigrants: All destinations,2.3
1991,0 - 14 years,Female,Immigrants: All origins,2.6
1991,15 - 24 years,Both sexes,Net migration,
1991,15 - 24 years,Both sexes,Emigrants: All destinations,19.9
1991,15 - 24 years,Both sexes,Immigrants: All origins,9.3
1991,15 - 24 years,Male,Net migration,
1991,15 - 24 years,Male,Emigrants: All destinations,9.5
1991,15 - 24 years,Male,Immigrants: All origins,4.5
1991,15 - 24 years,Female,Net migration,
1991,15 - 24 years,Female,Emigrants: All destinations,10.4
1991,15 - 24 years,Female,Immigrants: All origins,4.8
1991,25 - 44 years,Both sexes,Net migration,
1991,25 - 44 years,Both sexes,Emigrants: All destinations,10.5
1991,25 - 44 years,Both sexes,Immigrants: All origins,14.6
1991,25 - 44 years,Male,Net migration,
1991,25 - 44 years,Male,Emigrants: All destinations,5.8
1991,25 - 44 years,Male,Immigrants: All origins,8.0
1991,25 - 44 years,Female,Net migration,
1991,25 - 44 years,Female,Emigrants: All destinations,4.7
1991,25 - 44 years,Female,Immigrants: All origins,6.5
1991,45 - 64 years,Both sexes,Net migration,
1991,45 - 64 years,Both sexes,Emigrants: All destinations,0.4
1991,45 - 64 years,Both sexes,Immigrants: All origins,2.5
1991,45 - 64 years,Male,Net migration,
1991,45 - 64 years,Male,Emigrants: All destinations,0.1
1991,45 - 64 years,Male,Immigrants: All origins,1.4
1991,45 - 64 years,Female,Net migration,
1991,45 - 64 years,Female,Emigrants: All destinations,0.3
1991,45 - 64 years,Female,Immigrants: All origins,1.1
1991,65 years and over,Both sexes,Net migration,
1991,65 years and over,Both sexes,Emigrants: All destinations,0.0
1991,65 years and over,Both sexes,Immigrants: All origins,1.7
1991,65 years and over,Male,Net migration,
1991,65 years and over,Male,Emigrants: All destinations,0.0
1991,65 years and over,Male,Immigrants: All origins,0.9
1991,65 years and over,Female,Net migration,
1991,65 years and over,Female,Emigrants: All destinations,0.0
1991,65 years and over,Female,Immigrants: All origins,0.8
1992,All ages,Both sexes,Net migration,7.4
1992,All ages,Both sexes,Emigrants: All destinations,33.4
1992,All ages,Both sexes,Immigrants: All origins,40.7
1992,All ages,Male,Net migration,
1992,All ages,Male,Emigrants: All destinations,
1992,All ages,Male,Immigrants: All origins,
1992,All ages,Female,Net migration,
1992,All ages,Female,Emigrants: All destinations,
1992,All ages,Female,Immigrants: All origins,
1992,0 - 14 years,Both sexes,Net migration,
1992,0 - 14 years,Both sexes,Emigrants: All destinations,0.7
1992,0 - 14 years,Both sexes,Immigrants: All origins,6.2
1992,0 - 14 years,Male,Net migration,
1992,0 - 14 years,Male,Emigrants: All destinations,0.3
1992,0 - 14 years,Male,Immigrants: All origins,3.4
1992,0 - 14 years,Female,Net migration,
1992,0 - 14 years,Female,Emigrants: All destinations,0.4
1992,0 - 14 years,Female,Immigrants: All origins,2.8
1992,15 - 24 years,Both sexes,Net migration,
1992,15 - 24 years,Both sexes,Emigrants: All destinations,22.5
1992,15 - 24 years,Both sexes,Immigrants: All origins,12.5
1992,15 - 24 years,Male,Net migration,
1992,15 - 24 years,Male,Emigrants: All destinations,10.8
1992,15 - 24 years,Male,Immigrants: All origins,6.0
1992,15 - 24 years,Female,Net migration,
1992,15 - 24 years,Female,Emigrants: All destinations,11.7
1992,15 - 24 years,Female,Immigrants: All origins,6.5
1992,25 - 44 years,Both sexes,Net migration,
1992,25 - 44 years,Both sexes,Emigrants: All destinations,8.8
1992,25 - 44 years,Both sexes,Immigrants: All origins,16.5
1992,25 - 44 years,Male,Net migration,
1992,25 - 44 years,Male,Emigrants: All destinations,5.8
1992,25 - 44 years,Male,Immigrants: All origins,9.3
1992,25 - 44 years,Female,Net migration,
1992,25 - 44 years,Female,Emigrants: All destinations,3.0
1992,25 - 44 years,Female,Immigrants: All origins,7.2
1992,45 - 64 years,Both sexes,Net migration,
1992,45 - 64 years,Both sexes,Emigrants: All destinations,1.2
1992,45 - 64 years,Both sexes,Immigrants: All origins,4.1
1992,45 - 64 years,Male,Net migration,
1992,45 - 64 years,Male,Emigrants: All destinations,0.5
1992,45 - 64 years,Male,Immigrants: All origins,2.4
1992,45 - 64 years,Female,Net migration,
1992,45 - 64 years,Female,Emigrants: All destinations,0.7
1992,45 - 64 years,Female,Immigrants: All origins,1.7
1992,65 years and over,Both sexes,Net migration,
1992,65 years and over,Both sexes,Emigrants: All destinations,0.2
1992,65 years and over,Both sexes,Immigrants: All origins,1.4
1992,65 years and over,Male,Net migration,
1992,65 years and over,Male,Emigrants: All destinations,0.0
1992,65 years and over,Male,Immigrants: All origins,0.8
1992,65 years and over,Female,Net migration,
1992,65 years and over,Female,Emigrants: All destinations,0.2
1992,65 years and over,Female,Immigrants: All origins,0.6
1993,All ages,Both sexes,Net migration,-0.4
1993,All ages,Both sexes,Emigrants: All destinations,35.1
1993,All ages,Both sexes,Immigrants: All origins,34.7
1993,All ages,Male,Net migration,
1993,All ages,Male,Emigrants: All destinations,
1993,All ages,Male,Immigrants: All origins,
1993,All ages,Female,Net migration,
1993,All ages,Female,Emigrants: All destinations,
1993,All ages,Female,Immigrants: All origins,
1993,0 - 14 years,Both sexes,Net migration,
1993,0 - 14 years,Both sexes,Emigrants: All destinations,1.1
1993,0 - 14 years,Both sexes,Immigrants: All origins,5.6
1993,0 - 14 years,Male,Net migration,
1993,0 - 14 years,Male,Emigrants: All destinations,0.6
1993,0 - 14 years,Male,Immigrants: All origins,2.9
1993,0 - 14 years,Female,Net migration,
1993,0 - 14 years,Female,Emigrants: All destinations,0.5
1993,0 - 14 years,Female,Immigrants: All origins,2.6
1993,15 - 24 years,Both sexes,Net migration,
1993,15 - 24 years,Both sexes,Emigrants: All destinations,23.6
1993,15 - 24 years,Both sexes,Immigrants: All origins,10.3
1993,15 - 24 years,Male,Net migration,
1993,15 - 24 years,Male,Emigrants: All destinations,10.9
1993,15 - 24 years,Male,Immigrants: All origins,4.2
1993,15 - 24 years,Female,Net migration,
1993,15 - 24 years,Female,Emigrants: All destinations,12.7
1993,15 - 24 years,Female,Immigrants: All origins,6.0
1993,25 - 44 years,Both sexes,Net migration,
1993,25 - 44 years,Both sexes,Emigrants: All destinations,9.1
1993,25 - 44 years,Both sexes,Immigrants: All origins,14.5
1993,25 - 44 years,Male,Net migration,
1993,25 - 44 years,Male,Emigrants: All destinations,5.7
1993,25 - 44 years,Male,Immigrants: All origins,7.8
1993,25 - 44 years,Female,Net migration,
1993,25 - 44 years,Female,Emigrants: All destinations,3.4
1993,25 - 44 years,Female,Immigrants: All origins,6.6
1993,45 - 64 years,Both sexes,Net migration,
1993,45 - 64 years,Both sexes,Emigrants: All destinations,1.2
1993,45 - 64 years,Both sexes,Immigrants: All origins,3.6
1993,45 - 64 years,Male,Net migration,
1993,45 - 64 years,Male,Emigrants: All destinations,0.4
1993,45 - 64 years,Male,Immigrants: All origins,2.0
1993,45 - 64 years,Female,Net migration,
1993,45 - 64 years,Female,Emigrants: All destinations,0.8
1993,45 - 64 years,Female,Immigrants: All origins,1.6
1993,65 years and over,Both sexes,Net migration,
1993,65 years and over,Both sexes,Emigrants: All destinations,0.2
1993,65 years and over,Both sexes,Immigrants: All origins,0.8
1993,65 years and over,Male,Net migration,
1993,65 years and over,Male,Emigrants: All destinations,0.1
1993,65 years and over,Male,Immigrants: All origins,0.5
1993,65 years and over,Female,Net migration,
1993,65 years and over,Female,Emigrants: All destinations,0.1
1993,65 years and over,Female,Immigrants: All origins,0.4
1994,All ages,Both sexes,Net migration,-4.7
1994,All ages,Both sexes,Emigrants: All destinations,34.8
1994,All ages,Both sexes,Immigrants: All origins,30.1
1994,All ages,Male,Net migration,
1994,All ages,Male,Emigrants: All destinations,
1994,All ages,Male,Immigrants: All origins,
1994,All ages,Female,Net migration,
1994,All ages,Female,Emigrants: All destinations,
1994,All ages,Female,Immigrants: All origins,
1994,0 - 14 years,Both sexes,Net migration,
1994,0 - 14 years,Both sexes,Emigrants: All destinations,1.4
1994,0 - 14 years,Both sexes,Immigrants: All origins,4.4
1994,0 - 14 years,Male,Net migration,
1994,0 - 14 years,Male,Emigrants: All destinations,0.6
1994,0 - 14 years,Male,Immigrants: All origins,2.4
1994,0 - 14 years,Female,Net migration,
1994,0 - 14 years,Female,Emigrants: All destinations,0.7
1994,0 - 14 years,Female,Immigrants: All origins,2.0
1994,15 - 24 years,Both sexes,Net migration,
1994,15 - 24 years,Both sexes,Emigrants: All destinations,24.6
1994,15 - 24 years,Both sexes,Immigrants: All origins,9.7
1994,15 - 24 years,Male,Net migration,
1994,15 - 24 years,Male,Emigrants: All destinations,11.6
1994,15 - 24 years,Male,Immigrants: All origins,4.0
1994,15 - 24 years,Female,Net migration,
1994,15 - 24 years,Female,Emigrants: All destinations,13.0
1994,15 - 24 years,Female,Immigrants: All origins,5.7
1994,25 - 44 years,Both sexes,Net migration,
1994,25 - 44 years,Both sexes,Emigrants: All destinations,8.2
1994,25 - 44 years,Both sexes,Immigrants: All origins,12.1
1994,25 - 44 years,Male,Net migration,
1994,25 - 44 years,Male,Emigrants: All destinations,5.3
1994,25 - 44 years,Male,Immigrants: All origins,6.3
1994,25 - 44 years,Female,Net migration,
1994,25 - 44 years,Female,Emigrants: All destinations,2.9
1994,25 - 44 years,Female,Immigrants: All origins,5.8
1994,45 - 64 years,Both sexes,Net migration,
1994,45 - 64 years,Both sexes,Emigrants: All destinations,0.6
1994,45 - 64 years,Both sexes,Immigrants: All origins,3.1
1994,45 - 64 years,Male,Net migration,
1994,45 - 64 years,Male,Emigrants: All destinations,0.0
1994,45 - 64 years,Male,Immigrants: All origins,1.6
1994,45 - 64 years,Female,Net migration,
1994,45 - 64 years,Female,Emigrants: All destinations,0.6
1994,45 - 64 years,Female,Immigrants: All origins,1.4
1994,65 years and over,Both sexes,Net migration,
1994,65 years and over,Both sexes,Emigrants: All destinations,0.0
1994,65 years and over,Both sexes,Immigrants: All origins,0.9
1994,65 years and over,Male,Net migration,
1994,65 years and over,Male,Emigrants: All destinations,0.0
1994,65 years and over,Male,Immigrants: All origins,0.4
1994,65 years and over,Female,Net migration,
1994,65 years and over,Female,Emigrants: All destinations,0.0
1994,65 years and over,Female,Immigrants: All origins,0.4
1995,All ages,Both sexes,Net migration,-1.9
1995,All ages,Both sexes,Emigrants: All destinations,33.1
1995,All ages,Both sexes,Immigrants: All origins,31.2
1995,All ages,Male,Net migration,
1995,All ages,Male,Emigrants: All destinations,
1995,All ages,Male,Immigrants: All origins,
1995,All ages,Female,Net migration,
1995,All ages,Female,Emigrants: All destinations,
1995,All ages,Female,Immigrants: All origins,
1995,0 - 14 years,Both sexes,Net migration,
1995,0 - 14 years,Both sexes,Emigrants: All destinations,1.2
1995,0 - 14 years,Both sexes,Immigrants: All origins,5.3
1995,0 - 14 years,Male,Net migration,
1995,0 - 14 years,Male,Emigrants: All destinations,0.6
1995,0 - 14 years,Male,Immigrants: All origins,2.6
1995,0 - 14 years,Female,Net migration,
1995,0 - 14 years,Female,Emigrants: All destinations,0.6
1995,0 - 14 years,Female,Immigrants: All origins,2.7
1995,15 - 24 years,Both sexes,Net migration,
1995,15 - 24 years,Both sexes,Emigrants: All destinations,22.6
1995,15 - 24 years,Both sexes,Immigrants: All origins,8.0
1995,15 - 24 years,Male,Net migration,
1995,15 - 24 years,Male,Emigrants: All destinations,11.8
1995,15 - 24 years,Male,Immigrants: All origins,3.2
1995,15 - 24 years,Female,Net migration,
1995,15 - 24 years,Female,Emigrants: All destinations,10.8
1995,15 - 24 years,Female,Immigrants: All origins,4.8
1995,25 - 44 years,Both sexes,Net migration,
1995,25 - 44 years,Both sexes,Emigrants: All destinations,8.5
1995,25 - 44 years,Both sexes,Immigrants: All origins,14.6
1995,25 - 44 years,Male,Net migration,
1995,25 - 44 years,Male,Emigrants: All destinations,5.5
1995,25 - 44 years,Male,Immigrants: All origins,7.5
1995,25 - 44 years,Female,Net migration,
1995,25 - 44 years,Female,Emigrants: All destinations,2.9
1995,25 - 44 years,Female,Immigrants: All origins,7.1
1995,45 - 64 years,Both sexes,Net migration,
1995,45 - 64 years,Both sexes,Emigrants: All destinations,0.8
1995,45 - 64 years,Both sexes,Immigrants: All origins,2.6
1995,45 - 64 years,Male,Net migration,
1995,45 - 64 years,Male,Emigrants: All destinations,0.3
1995,45 - 64 years,Male,Immigrants: All origins,1.3
1995,45 - 64 years,Female,Net migration,
1995,45 - 64 years,Female,Emigrants: All destinations,0.5
1995,45 - 64 years,Female,Immigrants: All origins,1.3
1995,65 years and over,Both sexes,Net migration,
1995,65 years and over,Both sexes,Emigrants: All destinations,0.0
1995,65 years and over,Both sexes,Immigrants: All origins,0.7
1995,65 years and over,Male,Net migration,
1995,65 years and over,Male,Emigrants: All destinations,0.0
1995,65 years and over,Male,Immigrants: All origins,0.2
1995,65 years and over,Female,Net migration,
1995,65 years and over,Female,Emigrants: All destinations,0.0
1995,65 years and over,Female,Immigrants: All origins,0.5
1996,All ages,Both sexes,Net migration,8.0
1996,All ages,Both sexes,Emigrants: All destinations,31.2
1996,All ages,Both sexes,Immigrants: All origins,39.2
1996,All ages,Male,Net migration,
1996,All ages,Male,Emigrants: All destinations,
1996,All ages,Male,Immigrants: All origins,
1996,All ages,Female,Net migration,
1996,All ages,Female,Emigrants: All destinations,
1996,All ages,Female,Immigrants: All origins,
1996,0 - 14 years,Both sexes,Net migration,
1996,0 - 14 years,Both sexes,Emigrants: All destinations,0.9
1996,0 - 14 years,Both sexes,Immigrants: All origins,6.6
1996,0 - 14 years,Male,Net migration,
1996,0 - 14 years,Male,Emigrants: All destinations,0.4
1996,0 - 14 years,Male,Immigrants: All origins,3.1
1996,0 - 14 years,Female,Net migration,
1996,0 - 14 years,Female,Emigrants: All destinations,0.6
1996,0 - 14 years,Female,Immigrants: All origins,3.6
1996,15 - 24 years,Both sexes,Net migration,
1996,15 - 24 years,Both sexes,Emigrants: All destinations,21.4
1996,15 - 24 years,Both sexes,Immigrants: All origins,10.9
1996,15 - 24 years,Male,Net migration,
1996,15 - 24 years,Male,Emigrants: All destinations,9.8
1996,15 - 24 years,Male,Immigrants: All origins,4.2
1996,15 - 24 years,Female,Net migration,
1996,15 - 24 years,Female,Emigrants: All destinations,11.7
1996,15 - 24 years,Female,Immigrants: All origins,6.7
1996,25 - 44 years,Both sexes,Net migration,
1996,25 - 44 years,Both sexes,Emigrants: All destinations,8.1
1996,25 - 44 years,Both sexes,Immigrants: All origins,16.9
1996,25 - 44 years,Male,Net migration,
1996,25 - 44 years,Male,Emigrants: All destinations,5.1
1996,25 - 44 years,Male,Immigrants: All origins,8.7
1996,25 - 44 years,Female,Net migration,
1996,25 - 44 years,Female,Emigrants: All destinations,3.0
1996,25 - 44 years,Female,Immigrants: All origins,8.1
1996,45 - 64 years,Both sexes,Net migration,
1996,45 - 64 years,Both sexes,Emigrants: All destinations,0.7
1996,45 - 64 years,Both sexes,Immigrants: All origins,3.6
1996,45 - 64 years,Male,Net migration,
1996,45 - 64 years,Male,Emigrants: All destinations,0.0
1996,45 - 64 years,Male,Immigrants: All origins,2.2
1996,45 - 64 years,Female,Net migration,
1996,45 - 64 years,Female,Emigrants: All destinations,0.7
1996,45 - 64 years,Female,Immigrants: All origins,1.3
1996,65 years and over,Both sexes,Net migration,
1996,65 years and over,Both sexes,Emigrants: All destinations,0.0
1996,65 years and over,Both sexes,Immigrants: All origins,1.2
1996,65 years and over,Male,Net migration,
1996,65 years and over,Male,Emigrants: All destinations,0.0
1996,65 years and over,Male,Immigrants: All origins,0.6
1996,65 years and over,Female,Net migration,
1996,65 years and over,Female,Emigrants: All destinations,0.0
1996,65 years and over,Female,Immigrants: All origins,0.6
1997,All ages,Both sexes,Net migration,19.2
1997,All ages,Both sexes,Emigrants: All destinations,25.3
1997,All ages,Both sexes,Immigrants: All origins,44.5
1997,All ages,Male,Net migration,
1997,All ages,Male,Emigrants: All destinations,
1997,All ages,Male,Immigrants: All origins,
1997,All ages,Female,Net migration,
